국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7498.96,-0.14,-0.97,0.35,6.16,9.55,92,2026-07-22
미국,나스닥종합,25690.9,-0.57,-2.2,-1.82,5.9,10.54,78,2026-07-22
한국,KOSPI,7045.48,4.41,2.75,-22.7,13.79,67.19,65,2026-07-23
일본,닛케이225,66463.59,0.35,-1.89,-8.14,13.66,32.03,82,2026-07-23
중국,상해종합,3867.03,0.07,-2.24,-5.83,-5.27,-2.57,45,2026-07-22
중국,CSI300,4717.24,-0.46,-1.45,-4.11,-0.84,1.89,66,2026-07-22
홍콩,항셍,24892.66,-0.95,0.86,4.73,-5.57,-2.88,42,2026-07-22
홍콩,항셍테크,4668.23,-3.04,-1.52,2.61,-7.85,-15.37,17,2026-07-22
