구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,MAR US Equity,Marriott International,Consumer Services,346.83,-6.97,91.5,28.4,36.4,,O,,"매리어트(글로벌 호텔체인): Q2 매출 컨센 소폭 미달, 중동 RevPAR -43% 급락·Q3 EPS 가이던스 하회로 급락",미국
신저가,NEW,FICO US Equity,Fair Isaac Corporation,Commercial Services,1045.46,-6.9,22.6,20.6,30.2,,O,,페어아이작(FICO 신용점수·분석): 울프리서치가 밴티지스코어 경쟁 위협·정부프로그램 지연 이유로 아웃퍼폼→피어퍼폼 강등,미국
신저가,NEW,AZN US Equity,AstraZeneca PLC,Health Technology,157.97,-6.88,245.0,14.8,23.9,4.9,O,,아스트라제네카(글로벌 제약): BMS와 대형 합병 예비협상 보도에 희석·전략 합리성 의문으로 투자자 이탈 급락,미국
신저가,NEW,AXSM US Equity,"Axsome Therapeutics, Inc.",Health Technology,211.04,-3.19,10.9,,,198.8,O,,액솜테라퓨틱스(중추신경계 바이오): 미즈호 목표가 소폭 하향·Q1 손실폭 확대에 수익성 우려 지속,미국
신저가,NEW,TXN US Equity,Texas Instruments Incorporated,Electronic Technology,269.04,-2.43,245.7,28.2,40.9,13.6,O,,텍사스인스트루먼트(아날로그반도체): 실적 강세에도 Q3 가이던스 실망·반도체 차익실현 매물에 시장 역행 하락,미국
신저가,NEW,PEG US Equity,Public Service Enterprise Group Incorporated,Utilities,76.62,-0.08,38.2,17.3,16.9,2.2,O,O,,미국
신저가,NEW,NI US Equity,NiSource Inc,Utilities,44.53,0.23,21.3,21.1,22.2,2.2,O,,,미국
신저가,NEW,QCOM US Equity,QUALCOMM Incorporated,Electronic Technology,151.57,2.68,159.1,15.9,17.5,5.8,O,,,미국
신저가,NEW,TSN US Equity,"Tyson Foods, Inc.",Consumer Non-Durables,59.61,2.85,20.6,13.2,45.7,1.1,O,,,미국
신저가,NEW,SPCX US Equity,Space Exploration Technologies Corp,Communications,114.53,5.68,1519.5,341.5,,43.4,O,O,,미국
신저가,OLD,CRCL US Equity,"Circle Internet Group, Inc.",Technology Services,60.35,-3.61,15.0,69.6,,4.4,O,,,미국
신저가,OLD,WMG US Equity,Warner Music Group Corp.,Commercial Services,25.1,-3.31,13.1,15.8,29.5,17.7,O,,,미국
신저가,OLD,NXPI US Equity,NXP Semiconductors N.V.,Electronic Technology,224.17,-2.18,56.5,13.4,21.5,5.2,O,,,미국
신저가,OLD,MTZ US Equity,"MasTec, Inc.",Industrial Services,261.22,-0.71,21.0,23.9,41.6,5.9,O,,(전일) 마스텍(통신·에너지 인프라 시공): 2Q 매출·가이던스 상향에도 EPS 컨센 미달로 하락,미국
신저가,OLD,UTHR US Equity,United Therapeutics Corporation,Health Technology,516.31,-0.27,21.9,18.0,19.1,3.7,O,,,미국
신저가,OLD,NXT US Equity,Nextpower Inc.,Electronic Technology,90.67,0.89,13.8,19.0,23.5,,O,,,미국
신고가,NEW,OWL US Equity,Blue Owl Capital Inc.,Finance,11.16,8.35,17.3,12.0,141.1,3.8,O,,"블루아울(사모대출·대안자산운용): Q2 매출 $754M 컨센 9.6% 상회, 英 스파이어헬스케어 병원 13억파운드 인수 등 딜 발표로 급등",미국
신고가,NEW,ETN US Equity,"Eaton Corporation, PLC",Producer Manufacturing,438.23,5.55,170.2,29.3,44.6,8.4,O,O,"이튼(전력관리·전기장비): Q2 EPS·매출 상회, 전력인프라 수주 급증·FY26 가이던스 상향, 에버코어 목표가 상향",미국
신고가,NEW,CNH US Equity,CNH Industrial N.V.,Producer Manufacturing,10.8,5.37,13.4,18.4,35.0,1.7,O,,"CNH인더스트리얼(농기계·건설장비): Q2 EPS·매출 컨센 상회, FY26 EPS 가이던스 유지로 낙관 회복",미국
