시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,테크 -0.2% 약보합 — MSFT 애저 43% 신고가 개별 강세에도 반도체 경계로 ETF는 숨고르기,-0.2,-0.3,-5.5,10.1,22.1,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"헬스케어 -0.6% — 덱스콤·가던트헬스 실적 신고가 vs ETF 약보합, 순강도 +5 종목 차별화",-0.6,-0.0,1.9,11.8,5.9,7,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"금융 -0.1% 보합 — Finance 순강도 +5 최강, LPL파이낸셜 신고가, 1M +3.9% 견조",-0.1,1.1,3.9,9.6,4.9,9,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,경기소비재 +3.3% 당일 최강 — 대형 소비주 반등 주도(1주 +6.1%),3.3,6.1,-1.7,-1.7,-2.4,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,커뮤니케이션 +1.6% 반등 — 다만 레딧 -21% 실적 미스로 개별 차별화,1.6,1.8,-1.4,-6.9,-7.5,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,산업재 +0.8% 소폭 강세 — 마스텍 -19% 실적 미스는 개별 이슈,0.8,-1.5,-1.9,3.3,16.5,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,필수소비재 -0.5% 방어주 약보합,-0.5,1.1,2.1,1.6,10.9,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,"에너지 +1.0% — 1M +12.8%·YTD 1위, 유가 강세 지속",1.0,-0.1,12.8,0.6,35.0,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,유틸리티 -0.7% — 1주 -4.2% 약세 지속,-0.7,-4.2,-0.9,-4.7,5.3,8,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,소재 -2.3% 당일 최약 — Non-Energy Minerals 순강도 -4 최약과 연동,-2.3,-1.6,-1.2,-1.7,12.1,5,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
