시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"1D -2.6%(1M -10.2%). 전자기술 순강도 -28·신저 32로 최약, AI반도체 체인 조정 직격",-2.6,-7.6,-10.2,5.7,16.0,2.0,24.6,1.0,21.6,5.0,56.0,1.0,-27.7,9.0,34.7,4.0,43.6,1.0
미국,XLV US,헬스케어,"1D -0.6%로 방어. 헬스테크 순강도 +14 강세, GEHC 신고 등 실적 로테이션 수혜",-0.6,4.3,3.4,16.1,8.3,7.0,14.5,6.0,2.5,10.0,2.1,8.0,-2.1,4.0,26.0,7.0,13.3,5.0
미국,XLF US,금융,"1D -1.6%지만 금융 순강도 +34(신고 36)로 섹터 최강, 저PER 18.3 가치 매수 지속",-1.6,1.1,5.5,9.7,4.4,9.0,14.9,5.0,30.6,2.0,12.0,7.0,-10.6,6.0,34.8,3.0,-1.7,9.0
미국,XLY US,경기소비재,1D -0.8%. 소매·내구소비 신고 6·2로 견조하나 지수 조정에 소폭 약세,-0.8,-2.1,-4.7,-4.4,-6.2,10.0,7.4,9.0,26.5,3.0,39.6,3.0,-36.3,10.0,27.9,5.0,29.6,2.0
미국,XLC US,커뮤니케이션,"1D -0.1%로 보합. 커뮤니케이션 순강도 -2 혼조, 대형주 방향성 부재",-0.1,0.3,1.5,-5.1,-6.4,11.0,23.1,2.0,34.7,1.0,52.8,2.0,-37.6,11.0,16.0,11.0,26.9,3.0
미국,XLI US,산업재,"1D -3.2%로 SPDR 최약. 생산재 순강도 -10(신저14), 산업서비스 -6 동반 부진",-3.2,-1.2,-3.3,3.6,14.5,5.0,19.3,3.0,17.3,6.0,18.1,4.0,-5.6,5.0,21.1,8.0,10.9,6.0
미국,XLP US,필수소비재,"1D +0.3%로 유일 소폭 상승권. 필수소비 순강도 +6, 방어 로테이션 수혜",0.3,3.5,3.5,5.9,13.9,6.0,1.5,11.0,12.2,7.0,-0.8,10.0,-0.8,3.0,17.2,10.0,10.1,7.0
미국,XLE US,에너지,"1D +1.9%로 최강. 유가 강세, YTD +33% 섹터 1위 유지",1.9,-0.9,9.5,2.4,33.0,1.0,7.9,8.0,5.6,8.0,-0.6,9.0,64.3,1.0,53.3,1.0,-32.7,11.0
미국,XLU US,유틸리티,"1D -1.3%. 유틸 순강도 혼조, 금리·성장주 조정 여파로 동반 약세",-1.3,-2.2,-2.4,-2.3,6.6,8.0,16.0,4.0,23.3,4.0,-7.2,11.0,1.4,2.0,17.7,9.0,0.5,8.0
미국,XLB US,소재,"1D -1.1%. 소재 순강도 -1, 비에너지광물 신저 등 경기민감 약세",-1.1,1.8,2.1,1.0,15.0,4.0,9.9,7.0,0.1,11.0,12.5,5.0,-12.3,7.0,27.4,6.0,20.5,4.0
미국,XLRE US,리츠,"1D -0.1%로 견조. BXP 오피스 리츠 실적 서프라이즈 신고, 금리 민감 완화",-0.1,2.1,2.3,5.6,15.7,3.0,2.6,10.0,5.1,9.0,12.4,6.0,-26.2,8.0,46.1,2.0,-2.2,10.0
일본,1617 JP,식품,,2.3,3.9,4.9,13.4,21.3,4.0,11.8,15.0,8.8,14.0,22.3,13.0,6.4,10.0,5.6,11.0,-3.4,9.0
일본,1618 JP,에너지자원,,0.9,0.8,9.1,-4.1,16.5,7.0,41.4,6.0,29.9,3.0,37.2,3.0,23.6,2.0,39.3,1.0,-29.0,17.0
일본,1619 JP,건설·자재,,-1.3,-2.9,-7.6,-0.3,7.8,13.0,42.0,3.0,21.6,6.0,32.0,9.0,-2.4,12.0,12.6,8.0,-6.1,11.0
일본,1620 JP,소재·화학,,0.7,-4.7,-4.3,4.6,18.4,6.0,8.6,17.0,3.9,16.0,23.1,12.0,-9.4,14.0,2.1,14.0,8.6,5.0
일본,1621 JP,의약품,,1.9,5.0,6.8,2.3,6.9,14.0,9.7,16.0,10.8,13.0,0.5,17.0,16.4,4.0,-8.4,17.0,4.6,6.0
일본,1622 JP,자동차·운송기기,,5.6,9.5,14.8,11.1,3.5,16.0,13.5,14.0,16.4,11.0,40.5,2.0,-10.7,16.0,27.8,3.0,0.7,8.0
일본,1623 JP,철강·비철,,-3.6,-10.3,-20.8,-21.3,25.6,3.0,68.8,1.0,20.6,8.0,35.0,4.0,16.1,5.0,20.8,7.0,-8.6,12.0
일본,1624 JP,기계,,-0.1,-4.6,-6.1,-7.5,14.4,9.0,31.1,8.0,22.3,5.0,33.9,6.0,-9.9,15.0,7.5,9.0,17.7,3.0
일본,1625 JP,전기·정밀,,-1.4,-8.6,-14.9,4.5,20.4,5.0,27.5,9.0,17.9,10.0,33.7,7.0,-23.0,17.0,25.0,5.0,26.2,1.0
일본,1626 JP,정보통신·서비스,,1.3,3.5,7.3,11.6,8.2,12.0,13.9,13.0,21.0,7.0,17.9,15.0,-5.9,13.0,3.5,13.0,21.9,2.0
일본,1627 JP,전력·가스,,0.8,2.4,3.7,0.1,4.3,15.0,37.4,7.0,6.3,15.0,35.0,4.0,13.2,7.0,-8.3,16.0,-10.7,13.0
일본,1628 JP,운수·물류,,2.1,5.9,12.5,10.0,9.4,10.0,19.9,11.0,-0.0,17.0,19.0,14.0,13.1,8.0,4.7,12.0,-17.1,16.0
일본,1629 JP,상사·도매,,1.0,0.8,7.8,-1.5,16.4,8.0,41.5,5.0,20.1,9.0,42.0,1.0,21.3,3.0,29.2,2.0,1.9,7.0
일본,1630 JP,소매,,2.6,6.0,5.9,13.9,9.4,10.0,16.8,12.0,23.4,4.0,16.4,16.0,10.2,9.0,-4.4,15.0,8.7,4.0
일본,1631 JP,은행,,-0.4,-1.8,9.4,28.4,45.6,1.0,44.8,2.0,50.4,1.0,33.2,8.0,38.3,1.0,26.7,4.0,-16.3,15.0
일본,1632 JP,금융(은행외),,1.6,2.7,13.2,22.4,34.5,2.0,21.4,10.0,49.0,2.0,27.2,10.0,13.7,6.0,22.6,6.0,-3.6,10.0
일본,1633 JP,부동산,,1.6,2.6,5.0,-3.9,2.4,17.0,41.6,4.0,13.9,12.0,23.6,11.0,4.4,11.0,6.8,10.0,-13.3,14.0
홍콩,2800 HK,항셍지수,,1.9,3.7,12.3,0.9,2.5,1.0,32.8,1.0,24.8,2.0,-11.9,2.0,-14.4,1.0,-13.5,1.0,-1.2,1.0
홍콩,2828 HK,H주(중국기업),,2.2,4.6,14.1,-0.3,-1.9,2.0,26.2,2.0,32.1,1.0,-12.8,3.0,-17.8,2.0,-23.6,2.0,-2.0,2.0
홍콩,3033 HK,항셍테크,,2.7,4.1,10.7,-1.3,-11.5,3.0,22.7,3.0,18.9,3.0,-9.3,1.0,-27.4,3.0,-32.9,3.0,,
중국A,512480 CH,반도체,"당일 ETF 시세 수집 실패(공란). 전자기술 순강도 -14·신저 14로 섹터 최약, CPO·PCB·반도체 집중 하락 추정",,,,,,,,,,,,,,,,,,
중국A,515000 CH,테크(科技),"당일 ETF 시세 수집 실패(공란). 테크서비스 순강도 -1, 과창50 -4% 여파 약세 추정",,,,,,,,,,,,,,,,,,
중국A,515050 CH,5G통신,당일 ETF 시세 수집 실패(공란). 통신 순강도 0 중립 추정,,,,,,,,,,,,,,,,,,
중국A,515030 CH,신에너지차,1D +1.7%. 신에너지차 반등하나 1M -13.2%·3M -22.7%로 중기 약세 지속,1.7,3.4,-13.2,-22.7,-14.2,2.0,56.6,2.0,0.3,2.0,-29.0,2.0,-28.9,3.0,41.9,2.0,,
중국A,512660 CH,방산(军工),"당일 ETF 시세 수집 실패(공란). 방산 관련 신고/신저 특이신호 미미, 중립 추정",,,,,,,,,,,,,,,,,,
중국A,515790 CH,태양광,1D +0.4%. 태양광 소폭 반등하나 1M -21.7%·3M -22.5%로 중기 최약,0.4,-0.5,-21.7,-22.5,-15.2,3.0,27.1,3.0,-14.9,3.0,-35.2,3.0,-19.7,1.0,50.7,1.0,,
중국A,512690 CH,백주(주류),"당일 ETF 시세 수집 실패(공란). 백주 순강도 특이신호 없음, 중립 추정",,,,,,,,,,,,,,,,,,
중국A,512800 CH,은행,"당일 ETF 시세 수집 실패(공란). 금융 순강도 +6(은행 신고), 고배당 로테이션 최강 추정",,,,,,,,,,,,,,,,,,
중국A,512400 CH,유색금속,"1D +1.8%. 유색금속 반등하나 3M -15.6%, 비에너지광물 신저로 중기 부진",1.8,0.0,-4.6,-15.6,-8.3,1.0,101.1,1.0,4.1,1.0,-11.4,1.0,-21.6,2.0,33.2,3.0,41.8,1.0
중국A,512200 CH,부동산,"당일 ETF 시세 수집 실패(공란). 부동산 특이신호 미미, 중립 추정",,,,,,,,,,,,,,,,,,
중국A,512880 CH,증권,당일 ETF 시세 수집 실패(공란). 증권은 금융 순강도 +6 온기에 상대 견조 추정,,,,,,,,,,,,,,,,,,
중국A,512010 CH,의약,당일 ETF 시세 수집 실패(공란). 의약 순강도 0 중립 추정,,,,,,,,,,,,,,,,,,
중국A,159928 CH,소비(消费),"당일 ETF 시세 수집 실패(공란). 소비 순강도 +2(거리전기 신고), 대소비재 역방향 강세 추정",,,,,,,,,,,,,,,,,,
