시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"1D -0.3%지만 주간 +5.5%로 상위권 유지. 테크서비스 순강도 +7(MSFT 신고가), 반면 웨스턴디지털·앱러빈 급락으로 내부 균열",-0.3,5.5,2.2,9.1,29.0,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"1D +0.2%·3M +13.6%로 3개월 최상위. 헬스테크 순강도 +10, 인스메드 +33.9%·프락시스 +16.0% 신약 모멘텀",0.2,0.6,1.3,13.6,7.1,7,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"1D -0.3%지만 신고가 27종으로 전 섹터 최다(순강도 +27). 12MF PER 15.3(표본 162)로 밸류 부담 낮음, 금리 되밀림 수혜 추정",-0.3,1.4,5.2,11.9,6.5,8,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,1D -0.5%·주간 +5.1%. 경기소비재 순강도 +6이나 3M -1.3%로 중기 흐름은 여전히 부진,-0.5,5.1,2.4,-1.3,-0.7,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,1D +0.3%로 당일 상위. 다만 순강도 +1(밀리콤 +13.6% 정도)이고 3M -5.0%로 섹터 중 최약,0.3,4.3,1.6,-5.0,-5.0,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,"1D -0.9%로 당일 최하위권. 산업서비스 순강도 -1(엔브리지·TC에너지 신저), 프로듀서 +5와 혼재",-0.9,3.6,2.4,4.7,19.7,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,"1D -0.3%·주간 -0.4%. 순강도 +2로 방어적, 특별한 촉매 없이 지수 등락에 연동 추정",-0.3,-0.4,0.9,1.7,10.9,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,"1D +1.5%로 전 섹터 최강. 다만 에너지광물 신고·신저 모두 0, 12MF PER 10.1로 최저 밸류",1.5,-1.4,4.6,2.8,31.9,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,"1D -0.6%·1M -4.4%로 최약. 순강도 -2, PPL·얼라이언트·셈프라 신저가 — 금리 되밀림 직격 추정",-0.6,-2.9,-4.4,-4.5,3.0,9,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,1D -0.9%지만 1M +4.0%. 비에너지광물 순강도 +2로 금속 랠리 온기 일부 반영,-0.9,1.0,4.0,-0.1,16.0,4,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
미국,XLRE US,리츠,1D -0.9%·주간 -1.1%. 아메리칸홈4렌트·인비테이션홈스는 신고가지만 12MF PER 40배대로 부담,-0.9,-1.1,1.5,1.0,12.8,5,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10.0
일본,1617 JP,식품,,2.4,-0.1,0.7,11.5,19.3,7,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9.0
일본,1618 JP,에너지자원,,1.8,-2.3,3.2,-3.6,13.4,9,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17.0
일본,1619 JP,건설·자재,,0.4,2.3,-7.8,-5.4,8.9,10,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11.0
일본,1620 JP,소재·화학,,1.3,5.0,-1.2,3.9,23.2,5,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5.0
일본,1621 JP,의약품,,2.6,-2.8,-1.2,0.0,2.2,14,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6.0
일본,1622 JP,자동차·운송기기,,2.4,-3.2,2.4,7.4,-2.1,16,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8.0
일본,1623 JP,철강·비철,,-4.0,13.9,0.3,-17.6,43.4,2,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12.0
일본,1624 JP,기계,,0.0,5.9,-5.8,-5.7,21.3,6,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3.0
일본,1625 JP,전기·정밀,,-1.9,7.9,-3.6,8.3,33.2,3,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1.0
일본,1626 JP,정보통신·서비스,,0.4,1.0,4.9,11.7,8.0,11,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2.0
