시장,티커,섹터,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLE US,에너지,1.2,4.7,4.9,2.7,30.8,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11
미국,XLRE US,리츠,-0.1,2.2,1.6,4.6,14.3,4,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10
미국,XLI US,산업재,-0.4,-1.4,0.0,5.6,16.3,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6
미국,XLV US,헬스케어,-0.4,0.2,5.8,10.4,5.0,8,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5
미국,XLB US,소재,-0.7,-0.7,-3.8,-2.0,12.3,5,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4
미국,XLP US,필수소비재,-0.7,1.3,0.2,5.3,11.1,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7
미국,XLU US,유틸리티,-0.7,-0.5,0.9,-1.9,7.2,7,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8
미국,XLF US,금융,-0.9,1.0,3.9,8.5,3.6,9,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9
미국,XLK US,테크,-1.1,-5.5,-5.7,15.6,22.3,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1
미국,XLY US,경기소비재,-1.6,-1.5,-2.4,-1.7,-2.9,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2
미국,XLC US,커뮤니케이션,-1.8,-0.9,-1.2,-6.6,-5.5,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3
일본,1621 JP,의약품,1.1,0.5,3.1,-6.5,2.1,14,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6
일본,1628 JP,운수·물류,1.0,3.4,7.1,-1.1,3.0,13,19.9,11,-0.0,17,19.0,14,13.1,8,4.7,12,-17.1,16
일본,1617 JP,식품,0.9,0.2,3.3,5.7,16.2,6,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9
일본,1630 JP,소매,0.5,1.8,3.6,2.8,4.3,12,16.8,12,23.4,4,16.4,16,10.2,9,-4.4,15,8.7,4
일본,1629 JP,상사·도매,-0.6,1.6,0.2,-8.0,10.8,8,41.5,5,20.1,9,42.0,1,21.3,3,29.2,2,1.9,7
일본,1620 JP,소재·화학,-0.8,-0.0,-1.9,7.3,23.8,5,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5
일본,1633 JP,부동산,-0.8,0.7,2.4,-10.9,-1.2,16,41.6,4,13.9,12,23.6,11,4.4,11,6.8,10,-13.3,14
일본,1622 JP,자동차·운송기기,-1.2,3.4,2.6,-5.2,-6.1,17,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8
일본,1618 JP,에너지자원,-1.5,-0.5,0.3,-14.8,9.3,9,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17
일본,1626 JP,정보통신·서비스,-1.6,-1.3,0.4,11.6,4.5,11,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2
일본,1632 JP,금융(은행외),-2.4,-1.2,0.9,10.7,24.1,4,21.4,10,49.0,2,27.2,10,13.7,6,22.6,6,-3.6,10
일본,1627 JP,전력·가스,-2.6,-1.9,-1.6,-11.1,-1.1,15,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13
일본,1619 JP,건설·자재,-3.3,-5.0,-7.0,-0.3,9.3,9,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11
일본,1625 JP,전기·정밀,-3.7,-7.9,-11.7,12.9,28.0,3,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1
일본,1631 JP,은행,-4.7,-2.2,0.4,15.9,39.9,1,44.8,2,50.4,1,33.2,8,38.3,1,26.7,4,-16.3,15
일본,1623 JP,철강·비철,-4.9,-8.7,-16.0,-16.9,32.2,2,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12
일본,1624 JP,기계,-5.9,-7.6,-10.6,-7.8,13.7,7,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3
홍콩,2800 HK,항셍지수,-1.9,1.5,0.5,-4.1,-2.5,1,32.8,1,24.8,2,-11.9,2,-14.4,1,-13.5,1,-1.2,1
홍콩,2828 HK,H주(중국기업),-2.2,1.3,-0.4,-5.5,-7.6,2,26.2,2,32.1,1,-12.8,3,-17.8,2,-23.6,2,-2.0,2
홍콩,3033 HK,항셍테크,-4.5,-2.2,-0.6,-5.8,-15.9,3,22.7,3,18.9,3,-9.3,1,-27.4,3,-32.9,3,,
중국A,512800 CH,은행,0.9,2.9,0.5,-1.6,-4.1,5,10.8,8,42.6,1,-3.3,5,-4.8,1,-1.2,7,1.2,10
중국A,512880 CH,증권,-1.4,-1.2,1.5,2.2,-9.4,6,3.5,10,29.7,2,3.8,2,-26.1,8,-3.8,10,17.5,9
중국A,512690 CH,백주(주류),-1.7,4.0,0.0,-16.1,-22.9,13,-13.0,13,-11.0,11,-18.6,10,-11.9,3,-3.0,9,302.8,1
중국A,159928 CH,소비(消费),-1.8,3.3,2.8,-13.2,-17.7,10,-2.9,12,-4.2,10,-18.3,9,-13.4,4,-7.5,12,72.7,2
중국A,515030 CH,신에너지차,-3.0,-7.1,-20.1,-21.0,-17.0,8,56.6,3,0.3,8,-29.0,12,-28.9,10,41.9,2,,
중국A,515790 CH,태양광,-3.5,-11.1,-22.4,-24.7,-17.2,9,27.1,7,-14.9,13,-35.2,13,-19.7,5,50.7,1,,
중국A,512010 CH,의약,-3.7,0.3,12.7,-3.4,-3.7,4,4.7,9,-12.2,12,-14.0,8,-24.5,7,-15.7,13,58.4,4
중국A,512200 CH,부동산,-4.4,-4.9,-8.0,-16.0,-22.8,12,2.5,11,-0.5,9,-27.0,11,-10.4,2,-6.4,11,-6.6,11
중국A,512660 CH,방산(军工),-5.2,-17.1,-17.6,-22.3,-22.7,11,31.8,6,8.5,6,-10.8,6,-26.1,8,13.1,5,69.9,3
중국A,512400 CH,유색금속,-5.2,-6.8,-20.0,-22.2,-15.1,7,101.1,1,4.1,7,-11.4,7,-21.6,6,33.2,3,41.8,7
중국A,512480 CH,반도체,-7.7,-21.8,-10.4,33.9,46.2,1,45.0,5,25.6,3,-2.4,4,-36.6,12,23.8,4,46.2,5
중국A,515000 CH,테크(科技),-8.2,-16.8,-14.4,18.5,29.1,3,52.1,4,12.0,5,0.5,3,-34.0,11,-2.8,8,44.0,6
중국A,515050 CH,5G통신,-10.0,-13.8,-20.9,17.6,38.9,2,99.7,2,24.2,4,16.3,1,-37.8,13,6.8,6,19.3,8
