구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,ONON US Equity,On Holding AG,Consumer Non-Durables,30.91,-20.29,10.2,16.6,32.7,4.7,O,O,,미국
신저가,NEW,APP US Equity,Applovin Corporation,Technology Services,318.68,-5.99,106.6,17.3,24.5,33.8,O,O,,미국
신저가,NEW,RBA US Equity,"RB Global, Inc.",Technology Services,89.63,-4.47,16.6,19.2,39.5,3.0,O,O,,미국
신저가,NEW,FICO US Equity,Fair Isaac Corporation,Commercial Services,1038.23,-1.1,22.4,20.6,30.0,,O,,,미국
신저가,NEW,YUM US Equity,"Yum! Brands, Inc.",Consumer Services,144.75,-0.4,39.5,21.2,18.2,,O,,,미국
신저가,NEW,REG US Equity,Regency Centers Corporation,Finance,75.82,-0.38,13.9,30.3,25.6,2.1,O,,,미국
신저가,NEW,CMS US Equity,CMS Energy Corporation,Utilities,69.62,0.81,21.8,16.9,20.9,2.3,O,,,미국
신저가,OLD,WPC US Equity,W. P. Carey Inc. REIT,Finance,70.0,-0.93,15.9,22.0,24.0,1.8,O,,,미국
신저가,OLD,MO US Equity,"Altria Group, Inc.",Consumer Non-Durables,65.03,-0.78,108.6,11.3,13.7,,O,,"(전일) 알트리아(미국 담배): 7월말 2분기 부진·가이던스 하향 여파 지속, 고배당주 소외",미국
신저가,OLD,RRX US Equity,Regal Rexnord Corporation,Producer Manufacturing,172.55,-0.5,11.5,14.8,35.5,1.7,O,,,미국
신저가,OLD,GLPI US Equity,"Gaming and Leisure Properties, Inc.",Finance,42.64,-0.4,12.4,13.1,12.5,2.5,O,,"(전일) 게이밍앤레저프로퍼티스(카지노 부동산 리츠): 특별한 뉴스 없음, 리츠 동반 약세(금리 부담 추정)",미국
신저가,OLD,CNP US Equity,"CenterPoint Energy, Inc (Holding Co)",Utilities,40.18,0.37,26.5,20.3,23.7,2.3,O,,,미국
신저가,OLD,WEC US Equity,"WEC Energy Group, Inc.",Utilities,106.68,0.53,34.8,19.7,20.7,2.5,O,,"(전일) WEC에너지(위스콘신 전력·가스): 특별한 뉴스 없음, 유틸리티 섹터 소외 흐름 추정",미국
신저가,OLD,LNT US Equity,Alliant Energy Corporation,Utilities,68.58,0.54,17.8,19.4,21.7,2.4,O,,,미국
신저가,OLD,NI US Equity,NiSource Inc,Utilities,42.01,0.55,20.1,19.3,22.2,2.1,O,,,미국
신저가,OLD,DTE US Equity,DTE Energy Company,Utilities,137.64,0.63,28.6,16.8,21.7,2.4,O,,"(전일) DTE에너지(미시간 전력·가스): 특별한 뉴스 없음, 유틸리티 섹터 동반 약세(금리 부담 추정)",미국
신고가,NEW,ARMK US Equity,Aramark,Consumer Services,60.47,8.54,15.9,23.3,45.1,4.8,O,O,,미국
신고가,NEW,KKR US Equity,KKR & Co. Inc.,Finance,110.97,6.88,99.6,16.6,35.4,3.5,O,,,미국
신고가,NEW,MELI US Equity,"MercadoLibre, Inc.",Retail Trade,1940.0,6.34,98.4,45.0,52.8,12.6,O,,,미국
