구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,MO US Equity,"Altria Group, Inc.",Consumer Non-Durables,65.54,-4.11,109.4,11.4,13.8,,O,,"알트리아(미국 담배): 7월말 2분기 부진·가이던스 하향 여파 지속, 고배당주 소외",미국
신저가,NEW,GLPI US Equity,"Gaming and Leisure Properties, Inc.",Finance,42.81,-3.01,12.5,13.1,12.6,2.5,O,,"게이밍앤레저프로퍼티스(카지노 부동산 리츠): 특별한 뉴스 없음, 리츠 동반 약세(금리 부담 추정)",미국
신저가,NEW,EVR US Equity,Evercore Inc.,Finance,297.97,-2.61,11.5,15.5,16.8,6.2,O,,"에버코어(M&A 자문 IB): 특별한 뉴스 없음, 2분기 서프라이즈 소화 후 밸류에이션 조정 추정",미국
신저가,NEW,AEP US Equity,"American Electric Power Company, Inc.",Utilities,122.84,-2.3,66.9,18.5,,,O,,"아메리칸일렉트릭파워(전력 유틸리티): 8/10 배당락일, 유틸리티 섹터 동반 약세",미국
신저가,NEW,DTE US Equity,DTE Energy Company,Utilities,136.78,-2.21,28.5,16.7,21.6,2.3,O,,"DTE에너지(미시간 전력·가스): 특별한 뉴스 없음, 유틸리티 섹터 동반 약세(금리 부담 추정)",미국
신저가,NEW,NI US Equity,NiSource Inc,Utilities,41.78,-1.95,20.0,19.2,22.1,2.1,O,,,미국
신저가,NEW,CNP US Equity,"CenterPoint Energy, Inc (Holding Co)",Utilities,40.03,-1.6,26.4,20.1,23.6,2.2,O,,,미국
신저가,NEW,WPC US Equity,W. P. Carey Inc. REIT,Finance,70.66,-1.6,16.1,22.2,24.2,1.9,O,,,미국
신저가,NEW,ZTS US Equity,Zoetis Inc.,Health Technology,74.83,2.99,30.9,11.7,12.3,9.8,O,O,,미국
신저가,OLD,RRX US Equity,Regal Rexnord Corporation,Producer Manufacturing,173.42,-2.57,11.5,14.9,35.7,1.7,O,,,미국
신저가,OLD,LNT US Equity,Alliant Energy Corporation,Utilities,68.21,-1.67,17.7,19.3,21.6,2.3,O,,,미국
신저가,OLD,WEC US Equity,"WEC Energy Group, Inc.",Utilities,106.12,-1.4,34.6,19.6,20.6,2.4,O,,"(전일) WEC에너지(위스콘신 전력·가스): 특별한 뉴스 없음, 유틸리티 섹터 소외 흐름 추정",미국
신저가,OLD,AMRZ US Equity,Amrize Ltd,Non-Energy Minerals,46.29,-0.75,25.6,16.2,21.3,,O,O,"(전일) 암라이즈(시멘트·콘크리트 건자재): 2분기 EPS 원가인플레로 부진, EBITDA 가이던스 하향",미국
신저가,OLD,TRP US Equity,TC Energy Corporation,Industrial Services,63.33,0.16,63.3,23.6,27.0,3.7,O,,,미국
신저가,OLD,ENB US Equity,Enbridge Inc,Industrial Services,51.39,0.21,112.2,23.8,28.0,2.7,O,,"(전일) 엔브리지(캐나다 에너지 파이프라인): 개별 뉴스 없음, 에너지 섹터 약세(추정)",미국
신저가,OLD,TPL US Equity,Texas Pacific Land Corporation,Miscellaneous,350.44,2.87,24.2,38.5,44.7,14.5,O,,,미국
신고가,NEW,P US Equity,"Everpure, Inc.",Electronic Technology,97.98,8.81,32.6,38.5,149.0,22.6,O,O,"에버퓨어(올플래시 데이터 스토리지): 서스퀘하나 투자의견 상향, AI·클라우드 플래시 수요 부각",미국
신고가,NEW,PANW US Equity,"Palo Alto Networks, Inc.",Technology Services,385.04,5.82,313.8,98.2,316.7,11.3,O,O,팔로알토네트웍스(기업 보안SW): 오펜하이머·바클레이스 목표가 상향+AI에이전트 해킹 보도로 보안주 랠리,미국
신고가,NEW,VRTX US Equity,Vertex Pharmaceuticals Incorporated,Health Technology,523.91,5.61,132.8,26.9,30.5,6.6,O,O,버텍스파마(희귀질환·통증 신약): 비마약성 진통제 3상 톱라인 데이터 긍정 발표,미국
신고가,NEW,CRWD US Equity,"CrowdStrike Holdings, Inc.",Technology Services,225.16,5.01,229.3,172.4,,49.5,O,O,크라우드스트라이크(클라우드 엔드포인트 보안): AI에이전트 자율 해킹 사건 보도에 보안주 동반 급등,미국
신고가,NEW,NTAP US Equity,"NetApp, Inc.",Electronic Technology,198.72,4.85,39.0,22.2,31.3,28.8,O,O,"넷앱(엔터프라이즈 스토리지): 단일 촉매 미확인, AI인프라 스토리지 수혜 기대·투자의견 상향 여진",미국
신고가,NEW,MDB US Equity,"MongoDB, Inc.",Technology Services,416.67,4.48,33.5,65.2,,11.4,O,,,미국
신고가,NEW,UBER US Equity,"Uber Technologies, Inc.",Transportation,78.03,4.01,159.4,20.4,17.2,5.8,O,,,미국
신고가,NEW,CRL US Equity,"Charles River Laboratories International, Inc.",Commercial Services,277.0,3.56,13.2,22.5,,4.7,O,O,,미국
