시장,섹터,유니버스종목수,신고가,신저가,순강도(신고-신저),판정,PER(TTM중앙값),PBR(중앙값)
미국,Finance,165,33,2,31,강세,18.5,2.3
미국,Health Technology,69,12,0,12,강세,30.8,5.5
미국,Process Industries,23,5,1,4,강세,30.9,2.7
미국,Technology Services,89,4,0,4,강세,33.2,6.4
미국,Health Services,15,3,0,3,강세,22.7,2.8
미국,Retail Trade,32,3,0,3,강세,25.9,8.0
미국,Commercial Services,20,2,0,2,강세,33.5,5.6
미국,Consumer Services,38,3,1,2,강세,26.5,4.9
미국,Distribution Services,15,2,0,2,강세,24.9,5.1
미국,Producer Manufacturing,56,5,3,2,강세,34.2,6.2
미국,Non-Energy Minerals,27,1,0,1,강세,22.7,2.9
미국,Communications,11,0,2,-2,약세,12.3,3.4
미국,Industrial Services,34,1,4,-3,약세,28.7,5.4
미국,Electronic Technology,94,5,12,-7,약세,44.4,8.3
미국,Consumer Durables,19,1,1,0,혼조,20.8,2.4
미국,Consumer Non-Durables,36,1,1,0,혼조,22.5,3.2
미국,Energy Minerals,22,0,0,0,-,16.9,2.0
미국,Miscellaneous,2,0,0,0,-,54.4,9.6
미국,Transportation,25,1,1,0,혼조,28.8,4.7
미국,Utilities,40,0,0,0,-,22.7,2.3
일본,Finance,26,17,0,17,강세,16.6,1.5
일본,Transportation,5,3,0,3,강세,12.0,0.8
일본,Consumer Durables,11,2,0,2,강세,17.5,1.3
일본,Consumer Non-Durables,8,2,0,2,강세,26.1,2.8
일본,Electronic Technology,12,2,0,2,강세,44.2,4.0
일본,Commercial Services,1,1,0,1,강세,25.0,2.1
일본,Communications,4,1,0,1,강세,14.2,2.0
일본,Consumer Services,1,1,0,1,강세,38.1,4.2
일본,Health Technology,10,2,1,1,강세,20.1,2.1
일본,Non-Energy Minerals,4,1,0,1,강세,26.6,2.7
일본,Producer Manufacturing,24,1,0,1,강세,28.6,3.4
일본,Technology Services,8,1,0,1,강세,23.4,3.5
일본,Distribution Services,5,0,0,0,-,18.7,1.9
일본,Energy Minerals,2,0,0,0,-,12.6,1.0
일본,Industrial Services,3,0,0,0,-,13.5,1.9
일본,Process Industries,8,1,1,0,혼조,19.2,1.8
일본,Retail Trade,5,0,0,0,-,32.7,3.2
일본,Utilities,4,0,0,0,-,9.6,1.0
홍콩,Finance,47,3,0,3,강세,7.7,0.7
홍콩,Transportation,13,2,0,2,강세,13.3,1.6
홍콩,Technology Services,6,1,0,1,강세,15.9,3.1
홍콩,Consumer Durables,13,0,1,-1,약세,12.9,2.3
홍콩,Electronic Technology,16,0,1,-1,약세,77.3,5.0
홍콩,Producer Manufacturing,12,0,1,-1,약세,24.3,2.8
홍콩,Commercial Services,1,0,0,0,-,9.8,2.0
홍콩,Communications,5,0,0,0,-,12.3,0.8
홍콩,Consumer Non-Durables,9,0,0,0,-,14.8,2.3
홍콩,Consumer Services,6,0,0,0,-,16.3,5.4
홍콩,Distribution Services,2,0,0,0,-,11.9,2.6
홍콩,Energy Minerals,6,0,0,0,-,11.5,1.1
홍콩,Health Technology,10,0,0,0,-,34.5,5.1
홍콩,Industrial Services,3,0,0,0,-,3.9,0.2
홍콩,Non-Energy Minerals,7,0,0,0,-,14.2,2.4
홍콩,Process Industries,3,0,0,0,-,22.5,1.6
홍콩,Retail Trade,6,0,0,0,-,20.7,1.6
홍콩,Utilities,9,0,0,0,-,14.2,1.2
중국A,Commercial Services,1,0,1,-1,약세,,14.9
중국A,Technology Services,11,0,1,-1,약세,49.2,7.5
중국A,Utilities,15,0,1,-1,약세,20.1,1.7
중국A,Electronic Technology,65,1,3,-2,약세,76.8,10.4
중국A,Producer Manufacturing,45,0,2,-2,약세,34.8,4.9
중국A,Communications,4,0,0,0,-,16.6,1.3
중국A,Consumer Durables,10,0,0,0,-,15.3,3.1
중국A,Consumer Non-Durables,8,0,0,0,-,19.1,3.6
중국A,Distribution Services,3,0,0,0,-,26.8,2.4
중국A,Energy Minerals,7,0,0,0,-,14.7,1.9
중국A,Finance,42,0,0,0,-,6.7,0.8
중국A,Health Services,1,0,0,0,-,23.7,3.5
중국A,Health Technology,11,0,0,0,-,43.1,4.5
중국A,Industrial Services,7,0,0,0,-,7.4,0.4
중국A,Non-Energy Minerals,17,0,0,0,-,17.6,2.5
중국A,Process Industries,18,0,0,0,-,26.5,3.2
중국A,Retail Trade,1,0,0,0,-,,2.0
중국A,Transportation,11,0,0,0,-,16.2,1.7
