구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,DVA US Equity,DaVita Inc.,Health Services,188.69,-17.24,12.1,11.9,18.1,,O,,"다비타(신장투석 체인): 2분기 EPS 상회에도 가이던스 우려로 -17%, 신저가",미국
신저가,NEW,RBA US Equity,"RB Global, Inc.",Technology Services,95.63,-13.89,17.8,20.8,44.6,3.2,O,,"RB글로벌(산업장비 경매 마켓플레이스): 실적 실망으로 -13.9%, 신저가",미국
신저가,NEW,NYT US Equity,New York Times Company (The),Consumer Services,65.48,-13.4,10.6,22.0,28.1,5.3,O,,뉴욕타임스(언론·디지털 구독): 2분기 현금흐름 부진·성장 둔화 우려로 -13.4%,미국
신저가,NEW,FLUT US Equity,Flutter Entertainment plc,Consumer Services,92.91,-11.48,16.2,12.9,,1.8,O,O,"플러터(온라인 스포츠베팅, 팬듀얼): 2분기 미국 수익 급감·가이던스 하향으로 -11.5%",미국
신저가,NEW,DKNG US Equity,DraftKings Inc.,Consumer Services,21.76,-7.84,10.8,69.9,361.5,17.8,O,,드래프트킹스(온라인 스포츠베팅): 플러터 실적 쇼크 여파로 동반 -7.8%,미국
신저가,NEW,SBAC US Equity,SBA Communications Corporation,Finance,178.4,-5.06,18.9,22.7,19.2,,O,,,미국
신저가,NEW,CCI US Equity,Crown Castle Inc.,Finance,73.84,-4.92,31.5,27.5,16.3,,O,O,,미국
신저가,NEW,ON US Equity,ON Semiconductor Corporation,Electronic Technology,76.91,-4.79,29.9,19.8,49.5,4.1,O,,,미국
신저가,NEW,TRP US Equity,TC Energy Corporation,Industrial Services,63.86,-2.31,63.9,23.8,27.2,3.7,O,,,미국
신저가,NEW,CI US Equity,The Cigna Group,Health Services,270.5,-1.3,71.5,8.5,11.2,1.7,O,,,미국
신저가,NEW,LNT US Equity,Alliant Energy Corporation,Utilities,70.2,-0.65,18.2,19.9,22.2,2.4,O,,,미국
신저가,OLD,NI US Equity,NiSource Inc,Utilities,42.91,-3.64,20.6,19.9,21.4,2.1,O,,,미국
신저가,OLD,ENB US Equity,Enbridge Inc,Industrial Services,51.94,-2.75,113.4,24.0,28.3,2.8,O,,"(전일) 엔브리지(캐나다 에너지 파이프라인): 개별 뉴스 없음, 에너지 섹터 약세(추정)",미국
신저가,OLD,SRE US Equity,DBA Sempra,Utilities,84.66,-2.3,55.3,16.2,28.8,1.7,O,,,미국
신저가,OLD,CNP US Equity,"CenterPoint Energy, Inc (Holding Co)",Utilities,40.65,-2.24,26.8,20.5,24.0,2.3,O,,,미국
신저가,OLD,DTE US Equity,DTE Energy Company,Utilities,139.66,-1.45,29.1,17.0,22.1,2.4,O,,,미국
신저가,OLD,WSO/B US Equity,"Watsco, Inc.",Producer Manufacturing,316.24,-0.9,13.5,25.4,27.5,,O,O,,미국
신저가,OLD,UTHR US Equity,United Therapeutics Corporation,Health Technology,519.01,0.06,22.0,19.7,19.2,3.7,O,,,미국
신고가,NEW,SHOP US Equity,Shopify Inc.,Commercial Services,144.24,16.98,187.2,69.3,141.5,15.0,O,,"쇼피파이(이커머스 플랫폼): 2분기 실적 서프라이즈로 +17%, 52주 신고가",미국
신고가,NEW,BSP US Equity,Bending Spoons S.p.A.,Technology Services,43.75,16.82,27.8,36.3,,26.2,O,O,"벤딩스푼스(앱 인수·운영 이탈리아 테크): +16.8% 급등, 촉매 미확인(상장 초기 변동성 추정)",미국
신고가,NEW,CRL US Equity,"Charles River Laboratories International, Inc.",Commercial Services,260.72,11.36,12.6,21.5,,4.3,O,O,"찰스리버랩스(신약 전임상 CRO): 2분기 서프라이즈·가이던스 상향, 바이오텍 수요 회복",미국
신고가,NEW,DT US Equity,"Dynatrace, Inc.",Technology Services,50.86,11.27,14.8,24.9,94.9,5.7,O,O,다이나트레이스(앱 성능 모니터링 SW): 1QFY27 ARR +17% 호조로 +11%,미국
신고가,NEW,IFF US Equity,"International Flavors & Fragrances, Inc.",Consumer Non-Durables,88.07,8.88,22.5,20.7,27.0,1.6,O,O,"IFF(향료·향미 소재): 2분기 실적 호조로 +8.9%, 52주 신고가",미국
신고가,NEW,AIZ US Equity,"Assurant, Inc.",Finance,301.57,7.2,14.9,13.9,15.4,2.6,O,O,,미국
신고가,NEW,BKNG US Equity,Booking Holdings Inc. Common Stock,Consumer Services,207.02,6.56,160.4,18.6,27.2,,O,,,미국
신고가,NEW,EQH US Equity,"Equitable Holdings, Inc.",Finance,51.3,6.32,14.0,6.4,,,O,,,미국
신고가,NEW,CRBG US Equity,Corebridge Financial Inc.,Finance,33.59,6.3,15.0,6.6,56.5,1.5,O,,,미국
신고가,NEW,AMGN US Equity,Amgen Inc.,Health Technology,407.83,4.57,220.1,17.5,28.4,24.0,O,O,,미국
신고가,NEW,FIG US Equity,FIGMA INC,Technology Services,28.15,3.8,14.9,97.3,,10.2,O,,,미국
신고가,NEW,COR US Equity,"Cencora, Inc.",Distribution Services,317.22,3.57,61.7,16.5,24.3,18.2,O,,,미국
신고가,NEW,THC US Equity,Tenet Healthcare Corporation,Health Services,261.74,3.32,21.1,13.0,10.1,4.5,O,O,,미국
신고가,NEW,ATI US Equity,ATI Inc.,Non-Energy Minerals,205.11,2.48,28.0,44.4,67.6,15.8,O,O,,미국
신고가,NEW,ZBH US Equity,"Zimmer Biomet Holdings, Inc.",Health Technology,98.16,2.45,19.0,11.2,25.5,1.5,O,,,미국
신고가,NEW,ELAN US Equity,Elanco Animal Health Incorporated,Health Technology,26.22,2.42,13.1,23.3,,2.0,O,O,,미국
신고가,NEW,RTX US Equity,RTX Corporation,Electronic Technology,222.31,2.01,299.6,30.1,39.1,4.5,O,O,,미국
신고가,NEW,RVMD US Equity,"Revolution Medicines, Inc.",Health Technology,197.3,1.98,41.9,,,26.3,O,O,,미국
신고가,NEW,MELI US Equity,"MercadoLibre, Inc.",Retail Trade,1922.57,1.8,97.5,44.2,50.8,13.4,O,,,미국
신고가,NEW,NWSA US Equity,News Corporation,Consumer Services,29.06,1.64,16.7,24.1,38.8,1.9,O,,,미국
신고가,NEW,LPLA US Equity,LPL Financial Holdings Inc.,Finance,359.92,1.6,28.3,13.3,28.7,4.9,O,,,미국
신고가,NEW,SCHW US Equity,Charles Schwab Corporation (The),Finance,108.02,1.57,187.9,15.0,19.6,,O,O,,미국
신고가,NEW,RS US Equity,"Reliance, Inc.",Non-Energy Minerals,421.08,1.49,21.5,17.6,24.5,2.9,O,O,,미국
신고가,NEW,NWS US Equity,News Corporation,Consumer Services,33.13,1.25,16.6,27.5,44.3,2.1,O,,,미국
신고가,NEW,SARO US Equity,"StandardAero, Inc.",Transportation,31.01,1.08,10.3,22.3,35.2,3.8,O,,,미국
신고가,NEW,GE US Equity,GE Aerospace,Electronic Technology,381.22,1.04,395.5,45.3,44.9,22.4,O,O,,미국
신고가,NEW,REGN US Equity,"Regeneron Pharmaceuticals, Inc.",Health Technology,768.58,1.04,79.1,12.8,19.0,2.5,O,,,미국
신고가,NEW,CCK US Equity,"Crown Holdings, Inc.",Process Industries,122.14,0.39,13.3,14.4,17.6,4.8,O,O,,미국
신고가,NEW,SF US Equity,Stifel Financial Corporation,Finance,84.31,0.31,12.8,12.0,15.1,2.4,O,,,미국
신고가,NEW,FHN US Equity,First Horizon Corporation,Finance,26.17,0.31,12.4,12.1,12.6,1.5,O,,,미국
신고가,NEW,SYF US Equity,Synchrony Financial,Finance,79.25,0.21,25.8,8.3,8.1,1.7,O,,,미국
신고가,NEW,COO US Equity,"The Cooper Companies, Inc.",Health Technology,74.84,0.2,14.6,15.8,63.2,1.8,O,,,미국
신고가,NEW,SNA US Equity,Snap-On Incorporated,Consumer Durables,418.85,0.12,21.7,20.4,21.4,3.6,O,O,,미국
신고가,NEW,WY US Equity,Weyerhaeuser Company,Finance,25.84,0.04,18.6,61.1,39.5,2.0,O,,,미국
신고가,NEW,AER US Equity,AerCap Holdings N.V.,Finance,155.13,0.03,24.0,9.1,7.6,1.3,O,O,,미국
신고가,NEW,EXPD US Equity,"Expeditors International of Washington, Inc.",Transportation,181.41,-0.04,23.7,23.6,29.3,10.5,O,O,,미국
신고가,NEW,WCC US Equity,"WESCO International, Inc.",Distribution Services,373.08,-0.27,18.2,20.5,25.8,3.5,O,O,,미국
신고가,NEW,PFG US Equity,Principal Financial Group Inc,Finance,114.85,-0.35,24.6,11.6,16.3,2.0,O,O,,미국
신고가,NEW,CRWD US Equity,"CrowdStrike Holdings, Inc.",Technology Services,209.86,-0.64,213.7,160.7,,46.1,O,O,,미국
신고가,NEW,GPN US Equity,Global Payments Inc.,Finance,87.48,-0.87,23.9,5.9,23.3,1.0,O,O,,미국
신고가,NEW,PANW US Equity,"Palo Alto Networks, Inc.",Technology Services,362.66,-1.0,295.6,92.5,298.3,10.7,O,O,,미국
신고가,NEW,MTD US Equity,"Mettler-Toledo International, Inc.",Health Technology,1421.52,-1.08,28.5,28.7,32.0,2221.2,O,,,미국
신고가,NEW,GEN US Equity,Gen Digital Inc.,Technology Services,27.95,-1.13,16.7,9.6,17.7,6.4,O,,,미국
신고가,NEW,CG US Equity,The Carlyle Group Inc.,Finance,49.84,-1.58,17.9,11.6,34.1,3.3,O,,,미국
신고가,NEW,FTNT US Equity,"Fortinet, Inc.",Technology Services,164.13,-2.47,120.4,46.9,57.8,77.6,O,O,,미국
