구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,HAL US Equity,Halliburton Company,Industrial Services,33.19,-5.47,27.7,18.2,2.6,O,,,미국
신저가,NEW,BA US Equity,Boeing Company (The),Electronic Technology,204.8,-2.23,161.4,105.3,27.0,O,,,미국
신저가,NEW,NOC US Equity,Northrop Grumman Corporation,Electronic Technology,512.29,-2.23,72.8,16.0,4.3,O,O,,미국
신저가,NEW,MCD US Equity,McDonald's Corporation,Consumer Services,263.91,-1.39,187.5,21.8,,O,O,,미국
신저가,NEW,TU US Equity,Telus Corporation,Communications,10.18,-0.97,16.0,23.6,1.4,O,O,,미국
신저가,NEW,TKO US Equity,"TKO Group Holdings, Inc.",Consumer Services,181.7,-0.6,34.7,66.7,4.0,O,,,미국
신저가,NEW,LOW US Equity,"Lowe's Companies, Inc.",Retail Trade,203.51,-0.59,114.1,17.2,,O,O,,미국
신저가,NEW,LMT US Equity,Lockheed Martin Corporation,Electronic Technology,507.09,-0.48,116.9,24.6,15.6,O,,,미국
신저가,NEW,HII US Equity,"Huntington Ingalls Industries, Inc.",Electronic Technology,268.76,-0.47,10.6,17.5,2.1,O,,,미국
신저가,NEW,ULS US Equity,UL Solutions Inc.,Commercial Services,85.49,-0.18,17.2,49.8,13.0,O,,,미국
신저가,NEW,YUM US Equity,"Yum! Brands, Inc.",Consumer Services,147.17,-0.14,40.6,23.7,,O,,,미국
신저가,NEW,NI US Equity,NiSource Inc,Utilities,45.37,0.0,21.8,22.6,2.3,O,,,미국
신저가,NEW,ALB US Equity,Albemarle Corporation,Process Industries,118.62,0.36,14.0,,1.8,O,,,미국
신저가,NEW,FTAI US Equity,FTAI Aviation Ltd.,Electronic Technology,210.25,5.28,21.6,41.8,50.0,O,,,미국
신저가,OLD,CPRT US Equity,"Copart, Inc.",Retail Trade,27.17,-1.16,25.2,16.9,2.9,O,O,,미국
신저가,OLD,HONA US Equity,Honeywell Aerospace Inc.,Electronic Technology,200.14,-1.15,63.4,,,O,O,"(전일) 하니웰 에어로스페이스(항공우주 부품 분사): UBS 중립(목표 $231) 개시로 기대 미달, -4%대 급락",미국
신저가,OLD,LHX US Equity,"L3Harris Technologies, Inc.",Electronic Technology,277.71,-1.01,51.7,30.2,2.6,O,,,미국
신저가,OLD,APG US Equity,APi Group Corporation,Industrial Services,39.09,-0.74,17.1,,4.9,O,,,미국
신저가,OLD,WBD US Equity,"Warner Bros. Discovery, Inc. - Series A",Consumer Services,25.83,-0.12,64.8,,2.0,O,,(전일) 워너브라더스 디스커버리(미디어·스트리밍): 파라마운트·스카이댄스 $1100억 딜 8/3까지 법원 중단명령,미국
신저가,OLD,LECO US Equity,"Lincoln Electric Holdings, Inc.",Producer Manufacturing,249.02,1.46,13.6,25.7,9.0,O,,"(전일) 링컨일렉트릭(산업용 용접장비): 수요 부진·고밸류 부담, 7/30 실적 앞 관망 신저가",미국
신저가,OLD,QXO US Equity,"QXO, Inc.",Distribution Services,13.94,2.95,14.5,,1.1,O,O,(전일) QXO(건자재 유통): TopBuild $170억 인수완료 30% 희석+주택착공허가 2.4% 감소로 신저가,미국
신고가,NEW,MMM US Equity,3M Company,Producer Manufacturing,170.76,7.32,89.1,32.9,27.3,O,,,미국
신고가,NEW,CORT US Equity,Corcept Therapeutics Incorporated,Health Technology,95.65,4.46,10.3,273.3,16.1,O,O,,미국
신고가,NEW,JAZZ US Equity,Jazz Pharmaceuticals plc,Health Technology,254.22,4.42,16.0,,3.5,O,O,,미국
신고가,NEW,VTRS US Equity,Viatris Inc.,Health Technology,17.59,3.53,20.6,,1.4,O,O,,미국
신고가,NEW,CCK US Equity,"Crown Holdings, Inc.",Process Industries,117.99,2.98,13.2,17.0,4.5,O,O,,미국
신고가,NEW,CVS US Equity,CVS Health Corporation,Retail Trade,110.6,2.78,141.1,48.6,1.8,O,O,,미국
신고가,NEW,CTRE US Equity,"CareTrust REIT, Inc.",Finance,43.4,2.24,10.3,27.8,2.4,O,O,,미국
신고가,NEW,AHR US Equity,"American Healthcare REIT, Inc.",Finance,57.6,1.66,12.0,99.8,3.1,O,O,,미국
신고가,NEW,VTR US Equity,"Ventas, Inc.",Finance,97.62,1.42,48.6,176.8,3.6,O,O,,미국
신고가,NEW,HIG US Equity,"The Hartford Insurance Group, Inc.",Finance,141.98,1.05,38.9,10.0,2.1,O,,,미국
신고가,NEW,WELL US Equity,Welltower Inc.,Finance,246.37,0.62,173.9,,4.0,O,O,,미국
신고가,NEW,APGE US Equity,"Apogee Therapeutics, Inc.",Health Technology,134.2,0.04,10.1,,8.0,O,O,,미국
신고가,NEW,MRSH US Equity,Marsh,Finance,181.59,-0.28,87.5,22.7,6.0,O,,,미국
신고가,NEW,WRB US Equity,W.R. Berkley Corporation,Finance,72.16,-0.78,26.9,14.9,2.7,O,,,미국
신고가,NEW,SCHW US Equity,Charles Schwab Corporation (The),Finance,99.96,-2.52,173.8,19.8,4.1,O,,,미국
신고가,OLD,CHRW US Equity,"C.H. Robinson Worldwide, Inc.",Transportation,209.42,1.76,24.7,42.4,14.5,O,O,,미국
신고가,OLD,PSX US Equity,Phillips 66,Energy Minerals,212.27,1.66,85.1,20.9,3.0,O,O,"(전일) 정제 업황 호조, Raymond James TP $235 상향·정유 동반 강세",미국
신고가,OLD,DINO US Equity,HF Sinclair Corporation,Energy Minerals,91.69,1.42,16.5,13.8,1.7,O,O,,미국
신고가,OLD,MPC US Equity,Marathon Petroleum Corporation,Energy Minerals,319.76,1.41,93.3,20.9,5.6,O,O,,미국
신고가,OLD,ADM US Equity,Archer-Daniels-Midland Company,Process Industries,86.2,0.62,41.5,38.6,1.8,O,O,(전일) General Mills·월마트 재생농업 제휴 발표+BMO 목표가 상향,미국
신고가,OLD,VLO US Equity,Valero Energy Corporation,Energy Minerals,314.8,0.48,93.5,22.9,3.9,O,O,"(전일) 정제마진 강세 지속, 애널리스트 목표가 상향 랠리",미국
신고가,OLD,AES US Equity,The AES Corporation,Utilities,14.82,0.14,10.6,7.7,2.4,O,,"(전일) AES(글로벌 발전·재생에너지 유틸리티): 7/15 분기배당 선언+재생에너지 확장, 7/30 실적 기대",미국
신고가,OLD,PAA US Equity,"Plains All American Pipeline, L.P.",Industrial Services,24.29,-0.08,17.1,18.2,2.3,O,O,(전일) 플레인스올아메리칸(원유·NGL 파이프라인 MLP): 바클레이즈 목표가 $21→$23 상향+트루이스트 매수 재확인,미국
신고가,NEW,7181 JP Equity,"JAPAN POST INSURANCE Co., Ltd.",Finance,1686.0,4.69,10.6,11.0,0.4,O,,,일본
신고가,NEW,6178 JP Equity,"JAPAN POST HOLDINGS Co., Ltd.",Finance,2418.5,3.84,40.1,18.5,0.7,O,O,,일본
신고가,NEW,6098 JP Equity,"Recruit Holdings Co., Ltd.",Technology Services,12920.0,0.78,106.7,37.2,11.4,O,O,,일본
신고가,OLD,8630 JP Equity,"Sompo Holdings,Inc.",Finance,6946.0,4.77,37.5,9.9,1.2,O,O,(전일) 손포홀딩스(손해보험 지주): 보험섹터 강세·690억엔 자사주매입 지속으로 수급 개선,일본
신고가,OLD,5401 JP Equity,NIPPON STEEL CORP.,Non-Energy Minerals,598.6,2.22,19.2,182.4,0.6,O,,(전일) 닛폰스틸(일본 최대 철강): US스틸 철강가 호조·FY27 이익 1000억엔 기여 기대로 자율반등,일본
