구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,BE US Equity,Bloom Energy Corporation,Electronic Technology,184.89,-14.91,52.6,,57.0,O,,(연료전지): AI데이터센터 납품 지연 경고·오라클 뉴멕시코 허가 불허로 AI전력주 급락,미국
신저가,NEW,RKLB US Equity,Rocket Lab Corporation,Electronic Technology,63.91,-8.69,38.2,,16.3,O,,(소형 로켓발사): 이리듐 인수 딜 밸류 부담·스페이스X 경쟁 부각에 우주주 매도,미국
신저가,NEW,GLW US Equity,Corning Incorporated,Electronic Technology,146.65,-6.03,126.2,70.4,11.3,O,,(광섬유·특수유리): 7/28 실적 앞두고 통신 설비투자 둔화·보수적 가이던스 경계,미국
신저가,NEW,GFS US Equity,GlobalFoundries Inc.,Electronic Technology,53.53,-5.94,29.4,38.5,2.5,O,,(반도체 파운드리): 내부자 주식매도 공시·고평가 논란 속 반도체 조정 연장,미국
신저가,NEW,UBER US Equity,"Uber Technologies, Inc.",Transportation,65.94,-4.31,134.2,16.4,5.4,O,O,(모빌리티 플랫폼): 웨이모 협력 종료 검토 보도(FT)에 로보택시 경쟁 우려·신저가,미국
신저가,NEW,NXT US Equity,Nextpower Inc.,Electronic Technology,100.03,-4.27,15.2,26.1,6.4,O,,,미국
신저가,NEW,GNRC US Equity,Generac Holdings Inc.,Producer Manufacturing,202.01,-4.03,11.9,63.3,4.4,O,,,미국
신저가,NEW,ECHO US Equity,EchoStar Corporation,Communications,87.88,-3.97,25.5,,4.5,O,,,미국
신저가,NEW,IONQ US Equity,"IonQ, Inc.",Electronic Technology,32.84,-3.61,12.3,,2.5,O,,,미국
신저가,NEW,ALB US Equity,Albemarle Corporation,Process Industries,114.85,-1.76,13.5,,1.8,O,,,미국
신저가,NEW,QXO US Equity,"QXO, Inc.",Distribution Services,13.67,-1.16,14.2,,1.1,O,O,,미국
신저가,NEW,GSAT US Equity,"Globalstar, Inc.",Communications,78.93,-0.33,10.2,,29.6,O,,,미국
신저가,NEW,DECK US Equity,Deckers Outdoor Corporation,Consumer Non-Durables,96.04,-0.2,13.3,13.6,,O,,,미국
신저가,OLD,ORCL US Equity,Oracle Corporation,Technology Services,114.99,-4.21,331.2,19.7,8.8,O,O,,미국
신저가,OLD,CHTR US Equity,"Charter Communications, Inc.",Consumer Services,123.31,-2.52,17.1,3.2,0.9,O,O,,미국
