시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"1D +1.5%로 미 섹터 최강. 전자기술 순강도 +6·테크서비스 +8, 넷앱·유니티·스노우플레이크 신고가",1.5,1.6,2.9,7.9,31.5,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"1D +0.3%, 3M +16.0%로 중기 1위권. 헬스테크 순강도 +10(12MF 19.1배), 테넷·글라우코스·프락시스 신고가",0.3,2.6,6.4,16.0,9.7,7,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"1D +0.2%지만 금융 순강도 +11로 종목 폭은 최강. 12MF 15.2배(표본161), JP모건·BoA·슈왑·US뱅코프 신고가",0.2,-0.1,3.1,12.7,6.7,8,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,1D -1.1%로 약세. 다만 외식(브링커 +11.1%·텍사스로드하우스·다든)만 별도로 신고가 형성,-1.1,-0.6,1.7,-0.1,-0.9,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,"1D -0.9%, 3M -4.6%로 미 섹터 최약. 워너뮤직 신저가, 워너브러더스디스커버리만 신고가로 갈림",-0.9,-0.5,-1.1,-4.6,-5.8,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,"1D +0.1% 보합. 산업서비스 순강도 +3·생산재 +2, 무그·아메텍·록히드마틴 신고가로 방산 축이 견인",0.1,-0.3,3.0,6.9,20.5,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,1D +0.5%로 방어 강세. 다만 필수소비재 순강도 -1(알트리아·데커스 신저가)로 종목 폭은 약함,0.5,-0.3,2.0,1.5,10.9,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,"1D +0.2%·1주 +6.5%로 주간 최강. 에너지 순강도 +4(12MF 10.5배 최저), 마라톤·발레로 등 정유 신고가",0.2,6.5,7.2,6.8,38.4,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,1D +0.5%지만 1M -4.0%로 중기 부진. 유틸리티 순강도 +1(셰니어에너지파트너스 +3.4%),0.5,0.4,-4.0,-2.4,4.1,9,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,1D -1.2%로 최약이나 비에너지소재 순강도 +9 — 화학 약세 대 금광(뉴몬트·애그니코 등 7종) 신고가로 양분,-1.2,-0.1,3.8,1.2,16.9,4,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
미국,XLRE US,리츠,"1D +0.9%로 반등했으나 1주 -1.6%. 리츠 신고가 부재, W.P.케리는 신저가권 잔류",0.9,-1.6,0.0,0.7,12.0,5,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10.0
일본,1617 JP,식품,,0.6,4.7,5.7,10.4,22.0,7,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9.0
일본,1618 JP,에너지자원,,0.8,5.5,6.9,-2.4,17.4,9,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17.0
일본,1619 JP,건설·자재,,1.7,0.4,-3.6,-5.2,8.9,11,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11.0
일본,1620 JP,소재·화학,,-0.2,2.4,1.1,1.2,24.5,5,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5.0
일본,1621 JP,의약품,,-0.5,5.8,4.9,2.0,5.3,13,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6.0
일본,1622 JP,자동차·운송기기,,-1.1,2.1,6.8,4.6,-2.3,16,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8.0
일본,1623 JP,철강·비철,,0.2,2.9,9.0,-11.9,53.8,1,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12.0
일본,1624 JP,기계,,2.0,2.5,2.8,-0.6,24.2,6,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3.0
일본,1625 JP,전기·정밀,,2.2,2.9,3.2,12.5,39.7,3,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1.0
일본,1626 JP,정보통신·서비스,,0.3,6.1,7.1,19.9,14.1,10,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2.0
일본,1627 JP,전력·가스,,0.2,2.1,4.1,-2.0,2.7,15,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13.0
일본,1628 JP,운수·물류,,0.3,1.5,3.2,4.9,3.5,14,19.9,11,-0.0,17,19.0,14,13.1,8,4.7,12,-17.1,16.0
일본,1629 JP,상사·도매,,-0.3,3.5,9.3,-8.3,18.8,8,41.5,5,20.1,9,42.0,1,21.3,3,29.2,2,1.9,7.0
일본,1630 JP,소매,,-1.0,3.0,1.8,9.8,5.4,12,16.8,12,23.4,4,16.4,16,10.2,9,-4.4,15,8.7,4.0
일본,1631 JP,은행,,3.0,4.6,4.0,24.1,50.7,2,44.8,2,50.4,1,33.2,8,38.3,1,26.7,4,-16.3,15.0
일본,1632 JP,금융(은행외),,-0.4,-0.6,3.1,12.2,29.1,4,21.4,10,49.0,2,27.2,10,13.7,6,22.6,6,-3.6,10.0
일본,1633 JP,부동산,,0.3,0.1,-3.8,-7.6,-5.8,17,41.6,4,13.9,12,23.6,11,4.4,11,6.8,10,-13.3,14.0
홍콩,2800 HK,항셍지수,,0.0,-0.5,3.1,-2.4,0.2,1,27.4,1,17.9,3,-13.7,2,-15.3,1,-14.2,1,-3.7,1.0
홍콩,2828 HK,H주(중국기업),,-0.1,-0.9,3.1,-4.7,-5.0,2,22.9,2,27.1,1,-14.1,3,-18.6,2,-23.2,2,-4.1,2.0
홍콩,3033 HK,항셍테크,,0.5,-0.6,1.2,-5.7,-12.7,3,22.7,3,18.9,2,-9.3,1,-27.4,3,-32.9,3,,
중국A,512480 CH,반도체,"1D -1.7%·1M -13.1%로 조정 지속. 반도체 신고가 0종, 진왕전자만 장중 신고가 터치 후 -1.0% 마감",-1.7,2.2,-13.1,5.1,46.2,1,45.0,5,25.6,3,-2.4,4,-36.6,12,23.8,4,46.6,5.0
중국A,515000 CH,테크(科技),1D -0.9%·1M -10.0%. 다만 루이제네트워크 +13.5%(AI 스위치)로 AI 네트워크만 별도 강세,-0.9,2.2,-10.0,3.4,32.5,3,52.1,4,12.0,5,0.5,3,-34.0,11,-2.8,8,46.1,6.0
중국A,515050 CH,5G통신,1D +0.2%로 유일한 통신 강보합. 1M -12.4%로 중기 낙폭은 여전히 큼(추정: 낙폭과대 반등),0.2,3.6,-12.4,-5.2,38.3,2,99.7,2,24.2,4,16.3,1,-37.8,13,6.8,6,20.7,8.0
중국A,515030 CH,신에너지차,"1D -1.1%·3M -18.4%로 최약권. 홍콩 상장 니오 신저가와 방향 일치, 전기차 수급 약세",-1.1,1.3,2.4,-18.4,-11.2,9,56.6,3,0.3,8,-29.0,12,-28.9,10,41.9,2,,
중국A,512660 CH,방산(军工),"1D -0.7%·3M -17.1%. 방산 신고가 부재, 일본 방산(미쓰비시중공업 +4.0%)과 대조적 부진",-0.7,1.1,0.4,-17.1,-16.4,12,31.8,6,8.5,6,-10.8,6,-26.1,8,13.1,5,69.9,3.0
중국A,515790 CH,태양광,"1D -2.2%·3M -22.1%로 3개월 최약. 태양광 신고가 0종, 과잉공급 부담 지속(추정)",-2.2,2.1,1.5,-22.1,-10.3,8,27.1,7,-14.9,13,-35.2,13,-19.7,5,50.7,1,,
중국A,512690 CH,백주(주류),1D +0.9%·1M +8.2%로 중국A 유일 강세. 지수 하락일의 방어·내수 선호 흐름(추정),0.9,3.7,8.2,-1.1,-16.0,11,-13.0,13,-11.0,11,-18.6,10,-11.9,3,-3.0,9,336.4,1.0
중국A,512800 CH,은행,"1D 0.0% 보합. 금융 순강도 0, 12MF 7.3배(표본10)로 밸류는 최저권이나 촉매 부재",0.0,-0.6,1.3,2.7,-2.8,5,10.8,8,42.6,1,-3.3,5,-4.8,1,-1.2,7,0.9,10.0
중국A,512400 CH,유색금속,"1D -3.6%로 당일 최대 낙폭. 1M +7.5%였던 급등분 되돌림, 미 금광 신고가와 정반대 움직임",-3.6,-2.5,7.5,-8.3,-3.0,6,101.1,1,4.1,7,-11.4,7,-21.6,6,33.2,3,43.2,7.0
중국A,512200 CH,부동산,"1D -2.4%·3M -13.5%. 부동산 신고가 0종, 홍콩 중국철도건설 신저가와 인프라·부동산 동반 약세",-2.4,2.7,3.8,-13.5,-17.3,13,2.5,11,-0.5,9,-27.0,11,-10.4,2,-6.4,11,-4.3,11.0
중국A,512880 CH,증권,"1D +0.4%로 소폭 강세. 증권 신고가 부재, 거래대금 기대 선반영 여부는 미확인",0.4,0.5,-2.6,5.1,-9.1,7,3.5,10,29.7,2,3.8,2,-26.1,8,-3.8,10,17.5,9.0
중국A,512010 CH,의약,"1D -0.2%지만 1주 +5.5%·3M +12.4%로 중기 상위. 파마론 A주 +4.0% 신고가, CRO 축이 견인",-0.2,5.5,5.5,12.4,5.8,4,4.7,9,-12.2,12,-14.0,8,-24.5,7,-15.7,13,62.9,4.0
중국A,159928 CH,소비(消费),"1D -0.4%·1M +3.7%. 소비 신고가 부재, 백주(+0.9%)만 갈라져 강세",-0.4,1.6,3.7,-4.0,-14.2,10,-2.9,12,-4.2,10,-18.3,9,-13.4,4,-7.5,12,77.4,2.0
