시장,섹터,유니버스종목수,신고가,신저가,순강도(신고-신저),판정,PER(12MF중앙값),12MF표본수,PER(TTM중앙값),PBR(중앙값)
미국,Finance,166,29,0,29,강세,15.2,161,18.4,2.2
미국,Technology Services,92,18,0,18,강세,23.5,84,33.7,7.4
미국,Electronic Technology,97,11,0,11,강세,29.7,92,44.7,9.0
미국,Producer Manufacturing,58,9,3,6,강세,24.5,58,33.0,5.9
미국,Health Technology,69,6,1,5,강세,19.6,57,30.4,5.5
미국,Retail Trade,32,5,0,5,강세,20.6,32,24.8,7.9
미국,Distribution Services,16,4,0,4,강세,19.5,16,26.9,4.5
미국,Consumer Durables,19,3,0,3,강세,15.7,18,21.5,3.1
미국,Consumer Services,38,4,1,3,강세,21.4,37,27.7,4.8
미국,Consumer Non-Durables,36,2,0,2,강세,16.8,34,23.0,3.3
미국,Non-Energy Minerals,29,2,0,2,강세,17.4,29,21.9,2.8
미국,Process Industries,25,3,1,2,강세,16.2,24,31.3,2.1
미국,Transportation,26,1,0,1,강세,21.8,25,29.4,4.4
미국,Commercial Services,20,2,3,-1,약세,20.2,20,31.2,5.7
미국,Communications,11,0,1,-1,약세,14.1,9,10.0,1.9
미국,Industrial Services,34,1,3,-2,약세,23.1,32,27.0,5.3
미국,Utilities,40,0,7,-7,약세,18.1,38,22.2,2.2
미국,Energy Minerals,22,0,0,0,-,10.1,22,15.5,2.0
미국,Health Services,15,0,0,0,-,14.4,15,20.2,3.1
미국,Miscellaneous,2,0,0,0,-,,2,186.4,9.6
일본,Electronic Technology,12,1,0,1,강세,36.4,7,33.3,3.7
일본,Commercial Services,1,0,0,0,-,,1,24.2,2.1
일본,Communications,4,0,0,0,-,,3,13.8,2.0
일본,Consumer Durables,13,0,0,0,-,13.4,11,17.6,1.3
일본,Consumer Non-Durables,8,0,0,0,-,,1,25.7,2.7
일본,Consumer Services,2,0,0,0,-,,1,35.0,4.6
일본,Distribution Services,5,0,0,0,-,,3,17.9,1.8
일본,Energy Minerals,2,0,0,0,-,,1,12.1,0.9
일본,Finance,26,0,0,0,-,13.6,26,14.9,1.4
일본,Health Technology,10,0,0,0,-,20.5,7,19.4,2.1
일본,Industrial Services,2,0,0,0,-,,2,13.4,2.0
일본,Non-Energy Minerals,4,0,0,0,-,,4,16.9,2.9
일본,Process Industries,8,0,0,0,-,15.5,7,16.4,1.6
일본,Producer Manufacturing,22,0,0,0,-,23.2,14,29.4,3.7
일본,Retail Trade,6,0,0,0,-,,1,28.2,3.5
일본,Technology Services,9,0,0,0,-,,2,24.4,3.9
일본,Transportation,5,0,0,0,-,,3,11.7,0.8
일본,Utilities,5,0,0,0,-,,1,11.4,1.1
홍콩,Health Technology,10,2,0,2,강세,33.8,10,34.0,5.3
홍콩,Technology Services,7,2,0,2,강세,14.2,5,17.5,3.4
홍콩,Communications,5,1,0,1,강세,,2,12.2,0.8
홍콩,Consumer Non-Durables,9,1,0,1,강세,12.6,6,15.8,2.8
홍콩,Electronic Technology,15,1,0,1,강세,18.0,13,72.1,5.2
홍콩,Finance,47,1,0,1,강세,11.0,27,7.8,0.7
홍콩,Retail Trade,6,1,0,1,강세,11.9,5,21.5,1.8
홍콩,Transportation,13,1,0,1,강세,11.0,8,13.7,1.6
홍콩,Commercial Services,1,0,0,0,-,,1,10.4,2.1
홍콩,Consumer Durables,13,0,0,0,-,18.1,6,12.7,2.5
홍콩,Consumer Services,7,0,0,0,-,15.4,7,16.5,5.6
홍콩,Distribution Services,3,0,0,0,-,,2,12.0,3.6
홍콩,Energy Minerals,6,0,0,0,-,,4,11.4,1.1
홍콩,Industrial Services,3,0,0,0,-,,1,3.8,0.2
홍콩,Non-Energy Minerals,8,0,0,0,-,8.8,6,15.4,3.4
홍콩,Process Industries,3,0,0,0,-,,1,23.8,1.6
홍콩,Producer Manufacturing,13,0,0,0,-,14.4,8,24.3,2.7
홍콩,Utilities,9,0,0,0,-,,4,14.6,1.2
중국A,Health Technology,9,1,0,1,강세,26.9,8,43.0,5.1
중국A,Process Industries,18,0,1,-1,약세,,1,26.4,3.2
중국A,Producer Manufacturing,40,0,1,-1,약세,27.8,16,30.3,4.4
중국A,Commercial Services,1,0,0,0,-,,0,,15.3
중국A,Communications,4,0,0,0,-,,0,17.0,1.3
중국A,Consumer Durables,11,0,0,0,-,,2,16.3,2.8
중국A,Consumer Non-Durables,8,0,0,0,-,,0,19.0,3.6
중국A,Distribution Services,4,0,0,0,-,,0,16.9,2.7
중국A,Electronic Technology,60,0,0,0,-,30.2,36,61.1,9.9
중국A,Energy Minerals,7,0,0,0,-,,3,14.3,1.8
중국A,Finance,42,0,0,0,-,6.1,9,6.8,0.8
중국A,Health Services,1,0,0,0,-,,1,24.6,3.6
중국A,Industrial Services,7,0,0,0,-,,0,7.5,0.4
중국A,Non-Energy Minerals,19,0,0,0,-,,4,17.2,2.9
중국A,Retail Trade,1,0,0,0,-,,0,,2.1
중국A,Technology Services,11,0,0,0,-,61.8,8,52.6,8.4
중국A,Transportation,12,0,0,0,-,,3,16.3,1.5
중국A,Utilities,14,0,0,0,-,,1,21.2,1.7
