구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,QXO US Equity,"QXO, Inc.",Distribution Services,13.54,-5.97,14.1,,1.1,O,O,QXO(건자재 유통): TopBuild $170억 인수완료 30% 희석+주택착공허가 2.4% 감소로 신저가,미국
신저가,NEW,HONA US Equity,Honeywell Aerospace Inc.,Electronic Technology,202.47,-4.33,64.2,,,O,O,"하니웰 에어로스페이스(항공우주 부품 분사): UBS 중립(목표 $231) 개시로 기대 미달, -4%대 급락",미국
신저가,NEW,WBD US Equity,"Warner Bros. Discovery, Inc. - Series A",Consumer Services,25.86,-3.76,64.8,,2.0,O,,워너브라더스 디스커버리(미디어·스트리밍): 파라마운트·스카이댄스 $1100억 딜 8/3까지 법원 중단명령,미국
신저가,NEW,LECO US Equity,"Lincoln Electric Holdings, Inc.",Producer Manufacturing,245.44,-2.89,13.4,25.3,8.9,O,,"링컨일렉트릭(산업용 용접장비): 수요 부진·고밸류 부담, 7/30 실적 앞 관망 신저가",미국
신저가,NEW,AZN US Equity,AstraZeneca PLC,Health Technology,164.52,-2.59,255.2,25.1,5.4,O,,"아스트라제네카(글로벌 제약): CARDIO-TTRansform 임상3상 1차 평가변수 실패 여파, 7/27 실적 앞 불안",미국
신저가,NEW,APG US Equity,APi Group Corporation,Industrial Services,39.38,-1.84,17.2,,4.9,O,,,미국
신저가,NEW,PEP US Equity,"PepsiCo, Inc.",Consumer Non-Durables,135.46,-1.21,184.9,17.8,8.4,O,O,,미국
신저가,NEW,RGLD US Equity,"Royal Gold, Inc.",Non-Energy Minerals,187.36,-0.96,15.9,22.3,2.1,O,,,미국
신저가,NEW,CPRT US Equity,"Copart, Inc.",Retail Trade,27.49,-0.43,25.5,17.1,2.9,O,O,,미국
신저가,OLD,ORCL US Equity,Oracle Corporation,Technology Services,121.38,-3.98,349.6,20.8,9.3,O,O,,미국
신저가,OLD,SPCX US Equity,Space Exploration Technologies Corp,Communications,119.85,-3.34,1590.1,,45.4,O,O,,미국
신저가,OLD,AA US Equity,Alcoa Corporation,Non-Energy Minerals,43.48,-1.14,11.5,8.9,,O,,(전일) 2Q 실적 미스+호주 제련소 사고로 알루미나 가이던스 하향,미국
신저가,OLD,LHX US Equity,"L3Harris Technologies, Inc.",Electronic Technology,280.55,-0.52,52.3,30.5,2.7,O,,,미국
신저가,OLD,ALNY US Equity,"Alnylam Pharmaceuticals, Inc.",Health Technology,272.67,1.94,36.4,64.8,33.8,O,O,(전일) 개별 촉매 없이 바이오 섹터 매도세 속 52주 신저가,미국
신저가,OLD,ISRG US Equity,"Intuitive Surgical, Inc.",Health Technology,353.17,2.24,125.1,40.5,,O,O,"(전일) HCA發 수술량 둔화 우려·목표가 인하($585→$520), 7/16 실적 앞 매도",미국
신고가,NEW,PAA US Equity,"Plains All American Pipeline, L.P.",Industrial Services,24.31,1.84,17.2,18.2,2.3,O,O,플레인스올아메리칸(원유·NGL 파이프라인 MLP): 바클레이즈 목표가 $21→$23 상향+트루이스트 매수 재확인,미국
