구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,TTMI US Equity,"TTM Technologies, Inc.",Electronic Technology,123.71,-5.86,12.8,67.2,7.0,O,,(PCB·방산부품): 급등 후 차익실현·고평가 부담으로 신저가 이탈,미국
신저가,NEW,SITM US Equity,SiTime Corporation,Electronic Technology,522.67,-5.73,13.8,,11.9,O,,(반도체 타이밍칩): 반도체 섹터(SMH -3%) AI칩 밸류 우려 매도세,미국
신저가,NEW,HAL US Equity,Halliburton Company,Industrial Services,32.13,-3.69,26.8,16.8,2.4,O,,(유전서비스): 실적 상회에도 에너지 섹터 약세·유가 불확실성으로 하락,미국
신저가,NEW,ENTG US Equity,"Entegris, Inc.",Producer Manufacturing,126.37,-2.15,19.3,72.8,4.8,O,,(반도체 소재·CMP): 섹터 약세 속 AI칩 지출 둔화 우려로 낙폭 지속,미국
신저가,NEW,NVMI US Equity,Nova Ltd.,Electronic Technology,428.88,-2.08,13.6,53.8,9.8,O,,"(반도체 계측장비): 개별 뉴스 없음, SMH -3% 섹터 약세 동반 하락(수급)",미국
신저가,NEW,WBD US Equity,"Warner Bros. Discovery, Inc. - Series A",Consumer Services,25.28,-1.9,63.4,,1.9,O,,,미국
신저가,NEW,Q US Equity,"Qnity Electronics, Inc.",Electronic Technology,132.97,-1.55,27.8,42.9,3.9,O,,,미국
신저가,NEW,MTSI US Equity,"MACOM Technology Solutions Holdings, Inc.",Electronic Technology,263.08,-1.46,20.1,114.1,14.2,O,,,미국
신저가,NEW,SPCX US Equity,Space Exploration Technologies Corp,Communications,113.5,-1.36,1505.8,,43.0,O,O,,미국
신저가,NEW,MCHP US Equity,Microchip Technology Incorporated,Electronic Technology,77.9,-1.22,42.3,360.8,6.6,O,,,미국
신저가,NEW,CCI US Equity,Crown Castle Inc.,Finance,74.13,-1.03,31.6,16.3,,O,O,,미국
신저가,NEW,VRT US Equity,"Vertiv Holdings, LLC",Electronic Technology,287.6,-0.95,110.5,72.2,26.0,O,,,미국
신저가,NEW,PWR US Equity,"Quanta Services, Inc.",Industrial Services,620.28,-0.89,93.1,85.1,10.3,O,,,미국
신저가,NEW,FER US Equity,Ferrovial N.V.,Industrial Services,62.86,-0.62,45.1,43.4,6.5,O,,,미국
신저가,NEW,STZ US Equity,"Constellation Brands, Inc.",Consumer Non-Durables,129.71,-0.35,22.2,12.4,2.7,O,,,미국
신저가,NEW,MTZ US Equity,"MasTec, Inc.",Industrial Services,336.79,-0.31,26.6,58.9,8.0,O,,,미국
신저가,NEW,ADI US Equity,"Analog Devices, Inc.",Electronic Technology,371.89,0.01,181.1,55.3,5.4,O,,,미국
신저가,NEW,RMBS US Equity,"Rambus, Inc.",Electronic Technology,96.42,0.43,10.4,45.8,7.5,O,,,미국
신저가,NEW,FPS US Equity,"Forgent Power Solutions, Inc.",Producer Manufacturing,36.22,0.92,11.6,,24.7,O,,,미국
신저가,OLD,GLW US Equity,Corning Incorporated,Electronic Technology,143.36,-2.24,123.4,68.8,11.0,O,,(전일) (광섬유·특수유리): 7/28 실적 앞두고 통신 설비투자 둔화·보수적 가이던스 경계,미국
신저가,OLD,GNRC US Equity,Generac Holdings Inc.,Producer Manufacturing,197.54,-2.21,11.6,61.9,4.3,O,,,미국
