구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,TPL US Equity,Texas Pacific Land Corporation,Miscellaneous,342.77,-6.08,23.6,37.6,43.7,14.1,O,,텍사스퍼시픽랜드(퍼미안분지 토지·로열티 보유): 특별한 뉴스 없음(에너지 섹터 수급 흐름 추정),미국
신저가,NEW,EBAY US Equity,eBay Inc.,Retail Trade,102.31,-3.49,45.5,16.3,21.2,9.8,O,,이베이(온라인 중고·경매 커머스): 게임스톱의 566억달러 인수 철회·제휴 선회설로 인수 프리미엄 되돌림 지속,미국
신저가,NEW,DECK US Equity,Deckers Outdoor Corporation,Consumer Non-Durables,91.2,-2.81,12.4,11.9,12.9,5.4,O,,데커스아웃도어(호카·어그 브랜드 신발): 특별한 뉴스 없음(성장 둔화 우려 속 차익실현 추정),미국
신저가,NEW,ROL US Equity,"Rollins, Inc.",Commercial Services,36.52,-1.32,17.6,30.2,33.2,12.3,O,O,롤린스(해충방제 서비스): 2분기 EPS 0.32달러로 컨센 하회·경영진 교체 우려로 52주 신저가,미국
신저가,NEW,WMG US Equity,Warner Music Group Corp.,Commercial Services,24.79,-1.16,13.0,14.9,19.6,15.2,O,,워너뮤직그룹(3대 메이저 음반사): 특별한 뉴스 없음(8/5 실적 후 마진 논쟁 속 약세 지속 추정),미국
신저가,OLD,APP US Equity,Applovin Corporation,Technology Services,303.76,-4.68,101.7,16.5,23.3,32.2,O,O,,미국
신저가,OLD,RBA US Equity,"RB Global, Inc.",Technology Services,86.46,-3.54,16.0,18.5,38.1,2.9,O,O,,미국
신저가,OLD,MO US Equity,"Altria Group, Inc.",Consumer Non-Durables,64.38,-1.0,107.5,11.2,13.6,,O,,"(전일) 알트리아(미국 담배): 7월말 2분기 부진·가이던스 하향 여파 지속, 고배당주 소외",미국
신저가,OLD,RRX US Equity,Regal Rexnord Corporation,Producer Manufacturing,172.9,0.2,11.5,14.8,35.6,1.7,O,,,미국
신저가,OLD,FICO US Equity,Fair Isaac Corporation,Commercial Services,1044.21,0.58,22.6,20.7,30.2,,O,,,미국
신저가,OLD,WPC US Equity,W. P. Carey Inc. REIT,Finance,70.69,0.99,16.1,22.2,24.2,1.9,O,,,미국
신고가,NEW,EAT US Equity,"Brinker International, Inc.",Consumer Services,245.89,11.07,10.5,18.8,22.6,,O,O,브링커인터내셔널(칠리스 등 캐주얼다이닝 체인): 4분기 매출 서프라이즈·FY27 가이던스 상회로 급등,미국
신고가,NEW,PRAX US Equity,"Praxis Precision Medicines, Inc.",Health Technology,386.33,4.22,10.8,,,8.0,O,O,"프락시스정밀의학(신경질환 치료제 바이오텍): RBC·베어드 목표주가 상향, 2분기 실적 호조 지속",미국
신고가,NEW,MOG/A US Equity,Moog Inc.,Electronic Technology,428.82,2.84,13.6,37.5,36.5,6.3,O,O,무그(항공우주·방산 정밀제어시스템): 3분기 실적 호조·FY26 매출 가이던스 44억달러로 상향,미국
신고가,NEW,THC US Equity,Tenet Healthcare Corporation,Health Services,266.79,2.83,21.5,13.0,10.3,4.6,O,O,"테넷헬스케어(병원·외래수술센터 운영): 2분기 서프라이즈·가이던스 상향 여파로 강세 지속, 신고가",미국
신고가,NEW,GKOS US Equity,Glaukos Corporation,Health Technology,186.63,2.54,11.0,1219.9,,16.1,O,O,"글라우코스(녹내장·각막질환 의료기기): 2분기 매출 급증·2026년 가이던스 상향, 목표주가 잇단 상향",미국
신고가,NEW,WBD US Equity,"Warner Bros. Discovery, Inc. - Series A",Consumer Services,27.65,2.14,69.4,,,2.1,O,,,미국
신고가,NEW,TXRH US Equity,"Texas Roadhouse, Inc.",Consumer Services,214.28,2.13,14.1,29.7,34.3,9.0,O,O,,미국
신고가,NEW,HL US Equity,Hecla Mining Company,Non-Energy Minerals,18.1,1.91,12.2,22.0,23.2,4.5,O,,,미국
신고가,NEW,AEM US Equity,Agnico Eagle Mines Limited,Non-Energy Minerals,185.18,1.89,94.3,15.3,16.3,3.3,O,,,미국
