구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,APTV US Equity,Aptiv PLC,Producer Manufacturing,47.72,-16.62,10.1,7.7,28.2,1.1,O,O,"앱티브(자동차 전장·배선): 26년 매출 가이던스 3억달러 하향, EPS·FCF 전망도 축소",미국
신저가,NEW,NRG US Equity,"NRG Energy, Inc.",Utilities,117.04,-15.48,24.7,10.8,136.6,5.9,O,O,NRG에너지(발전·소매전력): 2분기 조정EPS 1.49달러로 컨센 1.82달러 하회,미국
신저가,NEW,ULS US Equity,UL Solutions Inc.,Commercial Services,78.34,-13.96,15.8,32.2,45.7,12.0,O,,UL솔루션스(제품안전 인증·시험): 2분기 실적이 시장 기대치 미달로 하락(추정),미국
신저가,NEW,CMI US Equity,Cummins Inc.,Producer Manufacturing,635.96,-1.99,87.8,19.7,33.0,7.1,O,,"커민스(디젤엔진·발전기): 개별 뉴스 없음, 산업재 소폭 조정(추정)",미국
신저가,NEW,ENB US Equity,Enbridge Inc,Industrial Services,53.41,-1.28,116.6,24.7,29.1,2.8,O,,"엔브리지(캐나다 에너지 파이프라인): 개별 뉴스 없음, 에너지 섹터 약세(추정)",미국
신저가,NEW,SRE US Equity,DBA Sempra,Utilities,86.65,-1.23,56.6,16.6,29.4,1.8,O,,,미국
신저가,NEW,WSO/B US Equity,"Watsco, Inc.",Producer Manufacturing,316.24,-0.9,12.8,25.4,27.5,,O,O,,미국
신저가,NEW,CNP US Equity,"CenterPoint Energy, Inc (Holding Co)",Utilities,41.58,-0.81,27.4,20.8,24.5,2.3,O,,,미국
신저가,NEW,TU US Equity,Telus Corporation,Communications,9.53,-0.63,15.0,18.0,,1.6,O,O,,미국
신저가,NEW,KMI US Equity,"Kinder Morgan, Inc.",Industrial Services,31.38,-0.06,69.9,21.2,20.2,2.2,O,,,미국
