구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,ALNY US Equity,"Alnylam Pharmaceuticals, Inc.",Health Technology,205.48,-28.31,27.4,22.4,48.8,25.5,O,O,"알닐람(RNAi 치료제): 대표약 Amvuttra 매출 컨센서스 하회, ATTR 연간 가이던스 하향에 급락",미국
신저가,NEW,CHRW US Equity,"C.H. Robinson Worldwide, Inc.",Transportation,146.92,-15.44,17.3,21.3,28.0,,O,,"CH로빈슨(화물 중개 물류): 배심원단 $604M 배상 판결·목표가 하향, 연속 하락 심화",미국
신저가,NEW,MO US Equity,"Altria Group, Inc.",Consumer Non-Durables,67.94,-9.32,113.5,11.7,14.2,,O,,"알트리아(말보로 담배·니코틴파우치): 2분기 EPS 소폭 하회·파우치 매출 -5%, 가이던스 실망",미국
신저가,NEW,LHX US Equity,"L3Harris Technologies, Inc.",Electronic Technology,271.9,-8.61,50.7,22.0,27.5,,O,O,L3해리스(방위 전자·통신): 연간 매출 가이던스 컨센 하회·미사일 사업부 IPO 연기 발표,미국
신저가,NEW,META US Equity,"Meta Platforms, Inc.",Technology Services,539.03,-7.95,1368.3,17.4,20.3,,O,,"메타(소셜미디어·AI인프라): 2분기 EPS 컨센 하회·AI지출 급증으로 잉여현금 -91%, 3분기 가이던스 실망",미국
신저가,NEW,CVNA US Equity,Carvana Co.,Retail Trade,61.44,-7.36,67.4,32.0,28.5,11.0,O,,,미국
신저가,NEW,TFII US Equity,TFI International Inc.,Transportation,134.29,-4.78,11.0,18.9,33.9,4.0,O,,,미국
신저가,NEW,CRH US Equity,CRH PLC,Non-Energy Minerals,96.0,-3.72,64.1,15.3,17.8,2.8,O,,,미국
신저가,NEW,LECO US Equity,"Lincoln Electric Holdings, Inc.",Producer Manufacturing,250.22,-3.01,13.7,21.5,25.8,9.1,O,,,미국
신저가,NEW,DKS US Equity,Dick's Sporting Goods Inc,Retail Trade,199.91,-2.95,17.9,13.3,19.0,3.2,O,,,미국
신저가,NEW,BG US Equity,Bunge Limited,Process Industries,105.07,-2.51,20.4,9.8,20.4,1.2,O,,,미국
신저가,NEW,AGI US Equity,Alamos Gold Inc.,Non-Energy Minerals,28.4,-0.63,11.9,10.2,10.5,2.5,O,,,미국
신저가,NEW,FTAI US Equity,FTAI Aviation Ltd.,Electronic Technology,197.5,0.07,20.3,19.9,43.0,50.2,O,,,미국
신저가,NEW,AUR US Equity,"Aurora Innovation, Inc.",Technology Services,6.24,4.35,12.2,,,6.4,O,,,미국
신저가,NEW,MOD US Equity,Modine Manufacturing Company,Producer Manufacturing,193.91,8.91,10.3,22.1,73.1,,O,,,미국
