시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"테크 1D -1.8%, AI하드웨어 순환매 이탈로 전자기술 순강도 -19 최약세",-1.8,-5.4,-5.5,6.7,19.1,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"헬스케어 1D +2.4%, 순강도 +23 강세 — 임상CRO·병원·바이오 방어 순환매 주도",2.4,4.4,4.3,17.1,9.0,7,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"금융 1D +1.3%, 순강도 +60 전 섹터 최강 — 기술주 대피 자금 은행·보험 집중",1.3,2.7,7.5,11.6,6.1,9,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,"경기소비재 1D +1.5%, 소비내구재 강세지만 YTD -5%로 상대 부진 지속",1.5,-2.1,-1.7,-4.4,-5.4,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,"커뮤니케이션 1D +1.9%, 반등이나 순강도 -2로 개별 편차 큼",1.9,-0.3,3.3,-5.1,-6.3,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,"산업재 1D -0.4%, 산업서비스 순강도 -8 약세 — AI인프라 시공주 매물 압박",-0.4,2.1,0.7,6.0,18.3,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,"필수소비재 1D +2.0%, 순강도 +11 강세 — 로테이션 방어 수요 유입",2.0,3.6,2.8,6.5,13.5,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,"에너지 1D -1.4%, 순강도 +1 미미 — 유가 약세로 당일 조정",-1.4,-1.6,6.9,2.1,30.5,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,"유틸리티 1D -0.4%, 순강도 +11 강세지만 당일은 금리 눈치보기 소폭 조정",-0.4,1.3,-1.5,-0.8,8.1,8,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,"소재 1D +1.8%, 소재산업 강세 — 셔윈윌리엄스 실적 서프라이즈로 도료주 신고가",1.8,4.5,1.4,1.5,16.4,4,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
미국,XLRE US,리츠,"리츠 1D +0.5%, 순강도 +4 완만한 방어 강세",0.5,1.8,1.7,6.7,15.8,5,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10.0
일본,1617 JP,식품,,0.7,1.6,3.3,11.2,18.6,5,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9.0
일본,1618 JP,에너지자원,,-1.3,1.0,9.3,-3.9,15.5,7,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17.0
일본,1619 JP,건설·자재,,-2.9,-0.5,-5.7,0.9,9.3,10,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11.0
일본,1620 JP,소재·화학,,-3.7,-5.5,-4.8,4.4,17.5,6,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5.0
일본,1621 JP,의약품,,0.7,2.5,6.7,-1.2,4.9,14,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6.0
일본,1622 JP,자동차·운송기기,,1.5,2.2,10.2,4.0,-2.0,17,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8.0
일본,1623 JP,철강·비철,,-5.0,-4.9,-19.4,-17.8,30.3,3,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12.0
일본,1624 JP,기계,,-5.2,-4.1,-3.8,-7.1,14.6,9,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3.0
일본,1625 JP,전기·정밀,,-6.7,-6.2,-13.0,6.5,22.2,4,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1.0
일본,1626 JP,정보통신·서비스,,0.1,0.6,7.3,9.8,6.8,12,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2.0
일본,1627 JP,전력·가스,,-1.4,1.0,4.3,-0.6,3.4,15,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13.0
일본,1628 JP,운수·물류,,0.6,3.6,11.5,5.8,7.1,11,19.9,11,-0.0,17,19.0,14,13.1,8,4.7,12,-17.1,16.0
일본,1629 JP,상사·도매,,-1.2,1.8,8.1,-1.3,15.3,8,41.5,5,20.1,9,42.0,1,21.3,3,29.2,2,1.9,7.0
일본,1630 JP,소매,,2.4,2.1,4.9,10.4,6.6,13,16.8,12,23.4,4,16.4,16,10.2,9,-4.4,15,8.7,4.0
일본,1631 JP,은행,,-4.0,0.8,9.8,28.4,46.2,1,44.8,2,50.4,1,33.2,8,38.3,1,26.7,4,-16.3,15.0
일본,1632 JP,금융(은행외),,-1.7,2.0,13.3,20.7,32.3,2,21.4,10,49.0,2,27.2,10,13.7,6,22.6,6,-3.6,10.0
일본,1633 JP,부동산,,0.2,0.5,5.1,-6.7,0.7,16,41.6,4,13.9,12,23.6,11,4.4,11,6.8,10,-13.3,14.0
홍콩,2800 HK,항셍지수,,0.4,0.8,11.8,-1.0,0.7,1,32.8,1,24.8,2,-11.9,2,-14.4,1,-13.5,1,-1.2,1.0
홍콩,2828 HK,H주(중국기업),,1.0,1.0,13.7,-2.7,-4.1,2,26.2,2,32.1,1,-12.8,3,-17.8,2,-23.6,2,-2.0,2.0
홍콩,3033 HK,항셍테크,,0.6,-1.7,11.1,-3.2,-13.8,3,22.7,3,18.9,3,-9.3,1,-27.4,3,-32.9,3,,
중국A,512480 CH,반도체,"반도체 1D -7.4%, 장신메모리 IPO·한국 반도체 급락 연쇄로 AI칩 섹터 폭락",-7.4,-9.0,-28.5,24.1,42.2,1,45.0,5,25.6,3,-2.4,4,-36.6,12,23.8,4,46.2,5.0
중국A,515000 CH,테크(科技),"테크 1D -7.6%, 전자기술 순강도 -6 약세 — 기술주 전반 로테이션 매도",-7.6,-10.4,-25.5,9.1,25.0,3,52.1,4,12.0,5,0.5,3,-34.0,11,-2.8,8,44.0,6.0
중국A,515050 CH,5G통신,"5G통신 1D -9.7%, 광통신·CPO 밸류체인 붕괴로 낙폭 최대",-9.7,-13.8,-28.7,-3.2,25.8,2,99.7,2,24.2,4,16.3,1,-37.8,13,6.8,6,19.3,8.0
중국A,515030 CH,신에너지차,"신에너지차 1D -1.7%, 시장 급락 동반 약세이나 상대 낙폭은 제한",-1.7,-0.1,-12.2,-23.4,-15.6,10,56.6,3,0.3,8,-29.0,12,-28.9,10,41.9,2,,
중국A,512660 CH,방산(军工),"방산 1D -2.4%, 성장주 조정 국면 동반 하락, YTD -22% 부진 지속",-2.4,-1.2,-12.7,-22.9,-21.6,12,31.8,6,8.5,6,-10.8,6,-26.1,8,13.1,5,69.9,3.0
중국A,515790 CH,태양광,"태양광 1D -2.0%, 공급과잉 부담 지속 속 시장 급락 동반",-2.0,-0.2,-19.6,-23.4,-15.5,9,27.1,7,-14.9,13,-35.2,13,-19.7,5,50.7,1,,
중국A,512690 CH,백주(주류),"백주(주류) 1D +2.4%, 기술주 폭락 반사 방어 순환매로 소비주 강세",2.4,1.2,8.6,-12.4,-19.8,11,-13.0,13,-11.0,11,-18.6,10,-11.9,3,-3.0,9,302.8,1.0
중국A,512800 CH,은행,"은행 1D +1.6%, 금융 순강도 +2 강세 — 고배당 방어주로 자금 대피",1.6,3.5,9.1,1.9,-0.6,4,10.8,8,42.6,1,-3.3,5,-4.8,1,-1.2,7,1.2,10.0
중국A,512400 CH,유색금속,"유색금속 1D -2.3%, 위험자산 회피 속 경기민감 금속주 조정",-2.3,1.5,-6.9,-18.0,-9.9,6,101.1,1,4.1,7,-11.4,7,-21.6,6,33.2,3,41.8,7.0
중국A,512200 CH,부동산,"부동산 1D +1.2%, 방어 순환매 온기 유입으로 반등",1.2,1.3,-2.1,-16.2,-22.7,13,2.5,11,-0.5,9,-27.0,11,-10.4,2,-6.4,11,-6.6,11.0
중국A,512880 CH,증권,"증권 1D -1.7%, 거래대금 위축·성장주 급락 동반 약세",-1.7,-3.4,-3.4,2.7,-10.4,7,3.5,10,29.7,2,3.8,2,-26.1,8,-3.8,10,17.5,9.0
중국A,512010 CH,의약,"의약 1D -0.5%, 방어 성격에 낙폭은 제한적, 순강도 중립",-0.5,-2.7,2.8,0.0,-3.2,5,4.7,9,-12.2,12,-14.0,8,-24.5,7,-15.7,13,58.4,4.0
중국A,159928 CH,소비(消费),"소비 1D +1.5%, 이구환신 수혜·가전 방어 순환매로 강세",1.5,0.6,8.2,-8.7,-15.1,8,-2.9,12,-4.2,10,-18.3,9,-13.4,4,-7.5,12,72.7,2.0
