구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,NFLX US Equity,"Netflix, Inc.",Technology Services,68.95,-7.26,290.3,21.7,,O,O,3Q 매출 가이던스 컨센 하회+참여도 공시 축소에 -7%,미국
신저가,NEW,AA US Equity,Alcoa Corporation,Non-Energy Minerals,43.98,-6.13,11.6,9.0,,O,,2Q 실적 미스+호주 제련소 사고로 알루미나 가이던스 하향,미국
신저가,NEW,ALNY US Equity,"Alnylam Pharmaceuticals, Inc.",Health Technology,267.47,-5.54,35.7,63.6,33.2,O,O,개별 촉매 없이 바이오 섹터 매도세 속 52주 신저가,미국
신저가,NEW,IREN US Equity,IREN Limited,Technology Services,33.62,-3.47,12.0,115.8,6.3,O,,"AI데이터센터·비트코인 채굴주 동반 급락, 6일 연속 하락",미국
신저가,NEW,MTZ US Equity,"MasTec, Inc.",Industrial Services,329.59,-3.29,26.0,57.6,7.9,O,,$1.65B Superior 인수 후 레버리지 우려·차익실현,미국
신저가,NEW,NVMI US Equity,Nova Ltd.,Electronic Technology,437.46,-3.03,13.9,54.9,10.0,O,,,미국
신저가,NEW,CDE US Equity,"Coeur Mining, Inc.",Non-Energy Minerals,14.35,-2.97,14.8,11.9,1.4,O,,,미국
신저가,NEW,MTSI US Equity,"MACOM Technology Solutions Holdings, Inc.",Electronic Technology,267.36,-2.95,20.4,115.9,14.4,O,,,미국
신저가,NEW,GLW US Equity,Corning Incorporated,Electronic Technology,154.61,-2.39,133.1,74.2,11.9,O,,,미국
신저가,NEW,APP US Equity,Applovin Corporation,Technology Services,424.54,-2.29,142.6,37.4,60.4,O,,,미국
신저가,NEW,SMCI US Equity,"Super Micro Computer, Inc.",Electronic Technology,24.18,-2.03,15.6,12.8,1.9,O,,,미국
신저가,NEW,CCJ US Equity,Cameco Corporation,Non-Energy Minerals,85.62,-1.99,37.3,79.7,7.3,O,,,미국
신저가,NEW,JBL US Equity,Jabil Inc.,Producer Manufacturing,301.01,-1.97,31.5,37.6,23.8,O,,,미국
신저가,NEW,VRT US Equity,"Vertiv Holdings, LLC",Electronic Technology,289.56,-1.55,111.2,72.7,26.2,O,,,미국
신저가,NEW,KGC US Equity,Kinross Gold Corporation,Non-Energy Minerals,22.57,-1.53,27.0,9.6,3.0,O,,,미국
신저가,NEW,ADI US Equity,"Analog Devices, Inc.",Electronic Technology,375.36,-1.36,182.8,55.8,5.4,O,,,미국
신저가,NEW,TECK US Equity,Teck Resources Ltd,Non-Energy Minerals,55.05,-1.33,27.0,20.3,1.4,O,,,미국
신저가,NEW,GFS US Equity,GlobalFoundries Inc.,Electronic Technology,57.48,-1.3,31.5,41.3,2.7,O,,,미국
신저가,NEW,NEM US Equity,Newmont Corporation,Non-Energy Minerals,89.7,-1.24,95.8,11.6,2.8,O,,,미국
신저가,NEW,LFUS US Equity,"Littelfuse, Inc.",Electronic Technology,397.75,-1.06,10.1,,4.0,O,,,미국
신저가,NEW,MCHP US Equity,Microchip Technology Incorporated,Electronic Technology,80.96,-0.88,44.0,375.0,6.8,O,,,미국
신저가,NEW,LHX US Equity,"L3Harris Technologies, Inc.",Electronic Technology,282.01,-0.85,52.5,30.6,2.7,O,,,미국
신저가,NEW,CLS US Equity,"Celestica, Inc.",Electronic Technology,301.34,-0.83,34.6,36.6,16.5,O,,,미국
신저가,NEW,EME US Equity,"EMCOR Group, Inc.",Industrial Services,744.16,-0.78,33.1,24.9,8.6,O,,,미국
신저가,NEW,HII US Equity,"Huntington Ingalls Industries, Inc.",Electronic Technology,269.13,-0.71,10.6,17.5,2.1,O,,,미국
신저가,NEW,AEIS US Equity,"Advanced Energy Industries, Inc.",Electronic Technology,284.05,-0.64,10.8,59.8,7.8,O,,,미국
신저가,NEW,PAAS US Equity,Pan American Silver Corp.,Non-Energy Minerals,41.77,-0.5,17.6,13.5,2.4,O,,,미국
신저가,NEW,FIX US Equity,"Comfort Systems USA, Inc.",Industrial Services,1674.06,-0.39,58.9,48.3,20.9,O,,,미국
신저가,NEW,CRCL US Equity,"Circle Internet Group, Inc.",Technology Services,60.46,-0.3,15.0,,4.4,O,,,미국
신저가,NEW,GNRC US Equity,Generac Holdings Inc.,Producer Manufacturing,214.91,-0.22,12.7,67.4,4.7,O,,,미국
신저가,NEW,AMKR US Equity,"Amkor Technology, Inc.",Electronic Technology,62.94,-0.13,15.6,35.9,3.4,O,,,미국
신저가,NEW,FER US Equity,Ferrovial N.V.,Industrial Services,63.59,-0.11,45.7,43.9,6.6,O,,,미국
