시장,티커,섹터,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,-1.5,1.3,5.7,-2.7,29.3,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1
미국,XLV US,헬스케어,-0.2,-2.0,4.7,15.0,11.5,6,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5
미국,XLF US,금융,0.4,1.1,1.9,13.0,7.0,8,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9
미국,XLY US,경기소비재,1.1,-0.7,4.3,-2.8,-1.4,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2
미국,XLC US,커뮤니케이션,1.4,1.4,6.0,-2.1,-3.5,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3
미국,XLI US,산업재,-0.9,-1.7,-0.7,2.6,14.8,4,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6
미국,XLP US,필수소비재,0.4,-0.6,-0.0,3.8,11.4,7,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7
미국,XLE US,에너지,0.6,-1.5,6.3,12.2,42.1,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11
미국,XLU US,유틸리티,-1.0,-0.1,-4.3,-3.2,1.4,9,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8
미국,XLB US,소재,-0.1,-0.7,3.0,4.4,18.2,3,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4
미국,XLRE US,리츠,-0.4,-1.3,-1.8,2.0,11.9,5,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10
일본,1617 JP,식품,0.2,0.0,0.6,10.9,22.1,5,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9
일본,1618 JP,에너지자원,-0.2,-1.0,4.1,5.7,21.3,6,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17
일본,1619 JP,건설·자재,-0.9,0.6,-1.8,-7.6,5.9,14,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11
일본,1620 JP,소재·화학,-0.1,0.3,2.5,-3.6,21.3,6,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5
일본,1621 JP,의약품,0.4,0.8,0.8,5.6,7.7,12,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6
일본,1622 JP,자동차·운송기기,1.3,0.0,-2.7,5.1,0.6,16,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8
일본,1623 JP,철강·비철,-0.2,2.4,20.2,-5.9,50.9,1,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12
일본,1624 JP,기계,-0.2,1.0,2.7,-1.9,17.5,9,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3
