구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,OLD,INIO US Equity,INNIO N.V.,Producer Manufacturing,20.83,-7.59,15.6,32.4,,74.7,O,O,,미국
신저가,OLD,PCG US Equity,Pacific Gas & Electric Co.,Utilities,16.6,-7.52,36.6,9.8,12.1,1.1,O,,,미국
신저가,OLD,STRL US Equity,"Sterling Infrastructure, Inc.",Industrial Services,470.52,-7.08,14.4,21.2,33.9,10.6,O,,,미국
신저가,OLD,GNRC US Equity,Generac Holdings Inc.,Producer Manufacturing,183.8,-6.84,10.8,18.2,42.4,3.8,O,,,미국
신저가,OLD,NVMI US Equity,Nova Ltd.,Electronic Technology,349.06,-5.89,11.1,28.0,43.5,7.6,O,,,미국
신저가,OLD,BURL US Equity,"Burlington Stores, Inc.",Retail Trade,272.95,-5.88,17.1,22.6,24.5,8.6,O,,,미국
신저가,OLD,MKSI US Equity,MKS Inc.,Producer Manufacturing,255.76,-5.62,17.3,16.3,40.8,5.8,O,,,미국
신저가,OLD,Q US Equity,"Qnity Electronics, Inc.",Electronic Technology,120.26,-4.82,25.2,24.9,43.1,3.5,O,,,미국
신저가,OLD,MTZ US Equity,"MasTec, Inc.",Industrial Services,241.0,-4.03,19.4,21.7,38.4,5.5,O,,,미국
신저가,OLD,RRX US Equity,Regal Rexnord Corporation,Producer Manufacturing,157.43,-3.96,10.5,13.5,32.4,1.5,O,,,미국
신저가,OLD,AXSM US Equity,"Axsome Therapeutics, Inc.",Health Technology,199.02,-3.51,10.4,1187.4,,124.9,O,,,미국
신저가,OLD,GFS US Equity,GlobalFoundries Inc.,Electronic Technology,44.76,-3.41,24.6,20.9,34.9,2.1,O,,,미국
신저가,OLD,NRG US Equity,"NRG Energy, Inc.",Utilities,111.12,-2.88,23.4,10.7,29.4,5.6,O,O,,미국
신저가,OLD,TLN US Equity,Talen Energy Corporation,Utilities,296.11,-2.78,14.2,11.1,,8.8,O,O,,미국
