시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"테크 -0.3%. 전자기술·기술서비스 섹터 약세(순강도 -1), 나스닥 -0.57% 동반 성장주 조정",-0.3,-0.7,-6.2,16.7,25.5,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"헬스케어 -0.5%. 헬스테크 혼조(신고2/신저2), 인튜이티브서지컬 -2.7% 등 개별 악재",-0.5,0.7,6.2,9.7,3.9,8,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"금융 +0.0%(보합). 지수는 평온하나 금융 신고 9개로 브레드스 최강(순강도+8), 실적 기대 로테이션",-0.1,-0.9,4.4,7.5,3.2,9,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,"경기소비재 -0.7%. 소비서비스 약세, 성장·소비주 부진",-0.7,-2.5,-0.8,-4.0,-4.1,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,"커뮤니케이션 -0.8%. 섹터 혼조 속 약세, 광고·미디어 소프트",-0.8,-3.7,2.2,-6.6,-6.7,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,산업재 +0.1%. 운송·상용차 강세(왑텍·파카·펜스키 신고가)로 지지,0.1,-0.7,-1.6,4.6,15.9,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,"필수소비재 +0.4%. 방어주 순환매 유입, 신고 2개 강세",0.4,1.1,2.7,3.8,10.0,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,"에너지 +1.2%. 에너지미네랄 순강도+5, 유가 강세로 섹터 상위",1.2,4.8,9.5,6.7,34.2,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,"유틸리티 +2.2%(1D 최강). 금리 로테이션·방어 수요, 신고 4개 강세",2.2,1.6,2.7,2.8,9.0,7,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,"소재 +1.4%. Process Industries 강세, 시클리컬 로테이션 수혜",1.4,0.6,-1.5,-1.5,13.0,5,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
미국,XLRE US,리츠,"리츠 -0.4%. 소폭 약세, 방향성 제한",-0.4,1.0,2.2,3.7,13.3,4,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10.0
일본,1617 JP,식품,,-0.0,2.5,2.9,7.4,16.7,7,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9.0
일본,1618 JP,에너지자원,,1.1,7.1,5.4,-7.8,15.6,8,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17.0
일본,1619 JP,건설·자재,,1.1,-0.4,-5.8,1.9,11.1,10,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11.0
일본,1620 JP,소재·화학,,-0.2,-0.0,-1.6,7.4,24.2,5,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5.0
일본,1621 JP,의약품,,-0.5,3.2,4.5,-6.4,1.8,15,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6.0
일본,1622 JP,자동차·운송기기,,-1.4,3.8,5.2,-3.7,-5.5,17,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8.0
일본,1623 JP,철강·비철,,2.2,0.6,-29.2,-12.3,40.0,2,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12.0
일본,1624 JP,기계,,0.4,-0.0,-6.1,-1.1,20.0,6,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3.0
일본,1625 JP,전기·정밀,,1.1,-1.9,-11.3,15.8,31.8,3,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1.0
일본,1626 JP,정보통신·서비스,,-1.5,-2.6,1.7,9.5,4.6,11,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2.0
일본,1627 JP,전력·가스,,-0.5,2.5,1.8,-7.6,1.9,14,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13.0
