시장,섹터,유니버스종목수,신고가,신저가,순강도(신고-신저),판정,PER(TTM중앙값),PBR(중앙값)
미국,Finance,164,10,3,7,강세,18.4,2.2
미국,Health Technology,69,8,3,5,강세,30.5,5.4
미국,Transportation,24,4,0,4,강세,29.7,5.1
미국,Utilities,41,3,0,3,강세,22.9,2.3
미국,Electronic Technology,95,3,1,2,강세,45.0,8.9
미국,Health Services,14,2,0,2,강세,20.5,2.7
미국,Process Industries,23,2,0,2,강세,29.4,2.7
미국,Commercial Services,20,3,2,1,강세,33.4,4.2
미국,Distribution Services,15,1,0,1,강세,24.3,4.9
미국,Energy Minerals,22,1,0,1,강세,18.6,2.1
미국,Communications,11,0,1,-1,약세,10.7,3.3
미국,Non-Energy Minerals,28,0,1,-1,약세,21.9,2.8
미국,Consumer Durables,19,1,3,-2,약세,20.2,1.8
미국,Consumer Non-Durables,37,0,2,-2,약세,22.1,3.0
미국,Technology Services,88,0,5,-5,약세,30.0,6.3
미국,Retail Trade,32,0,6,-6,약세,24.6,8.0
미국,Consumer Services,38,0,7,-7,약세,25.7,4.6
미국,Industrial Services,34,2,2,0,혼조,29.1,5.6
미국,Miscellaneous,2,0,0,0,-,58.3,10.3
미국,Producer Manufacturing,54,2,2,0,혼조,34.4,6.2
일본,Finance,26,9,0,9,강세,16.3,1.5
일본,Communications,4,1,0,1,강세,14.0,2.0
일본,Electronic Technology,12,1,0,1,강세,43.8,3.9
일본,Health Technology,10,1,0,1,강세,19.9,2.1
일본,Non-Energy Minerals,4,1,0,1,강세,26.7,2.7
일본,Retail Trade,5,1,0,1,강세,31.7,3.1
일본,Transportation,5,1,0,1,강세,11.7,0.8
일본,Producer Manufacturing,24,0,1,-1,약세,28.5,3.3
일본,Commercial Services,1,0,0,0,-,24.6,2.1
일본,Consumer Durables,11,0,0,0,-,16.5,1.3
일본,Consumer Non-Durables,8,0,0,0,-,25.4,2.8
일본,Consumer Services,1,0,0,0,-,36.1,4.0
일본,Distribution Services,5,0,0,0,-,18.3,1.9
일본,Energy Minerals,2,0,0,0,-,12.8,1.0
일본,Industrial Services,3,0,0,0,-,13.3,1.8
일본,Process Industries,9,0,0,0,-,20.6,1.6
일본,Technology Services,8,0,0,0,-,22.1,3.2
일본,Utilities,4,0,0,0,-,9.6,1.0
홍콩,Transportation,13,3,0,3,강세,13.2,1.5
홍콩,Communications,5,1,0,1,강세,12.2,0.8
홍콩,Consumer Non-Durables,9,1,0,1,강세,14.6,2.3
홍콩,Finance,47,1,0,1,강세,7.7,0.7
홍콩,Health Technology,10,1,0,1,강세,34.7,5.1
홍콩,Consumer Durables,13,0,1,-1,약세,12.8,2.2
홍콩,Electronic Technology,16,0,1,-1,약세,74.5,5.0
홍콩,Commercial Services,1,0,0,0,-,9.6,2.0
홍콩,Consumer Services,6,0,0,0,-,15.8,5.3
홍콩,Distribution Services,2,0,0,0,-,11.9,2.6
홍콩,Energy Minerals,6,0,0,0,-,11.8,1.1
홍콩,Industrial Services,3,0,0,0,-,3.9,0.2
홍콩,Non-Energy Minerals,8,0,0,0,-,14.9,3.3
홍콩,Process Industries,3,0,0,0,-,22.2,1.6
홍콩,Producer Manufacturing,13,0,0,0,-,23.4,2.7
홍콩,Retail Trade,6,0,0,0,-,20.3,1.6
홍콩,Technology Services,6,0,0,0,-,15.6,3.1
홍콩,Utilities,9,0,0,0,-,14.3,1.2
중국A,Transportation,11,2,0,2,강세,16.0,1.7
중국A,Electronic Technology,65,1,2,-1,약세,72.4,10.1
중국A,Technology Services,11,0,1,-1,약세,48.4,7.3
중국A,Utilities,15,0,1,-1,약세,20.3,1.7
중국A,Producer Manufacturing,47,0,2,-2,약세,33.8,4.8
중국A,Commercial Services,1,0,0,0,-,,14.5
중국A,Communications,4,0,0,0,-,16.7,1.3
중국A,Consumer Durables,10,0,0,0,-,15.1,3.2
중국A,Consumer Non-Durables,8,0,0,0,-,18.9,3.5
중국A,Distribution Services,3,0,0,0,-,26.4,2.4
중국A,Energy Minerals,7,0,0,0,-,14.8,1.9
중국A,Finance,42,0,0,0,-,7.0,0.8
중국A,Health Services,1,0,0,0,-,23.3,3.4
중국A,Health Technology,11,0,0,0,-,43.0,4.4
중국A,Industrial Services,7,0,0,0,-,7.4,0.4
중국A,Non-Energy Minerals,19,0,0,0,-,18.4,2.8
중국A,Process Industries,18,0,0,0,-,25.8,3.2
중국A,Retail Trade,1,0,0,0,-,,1.9
