구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,TSLA US Equity,"Tesla, Inc.",Consumer Durables,319.69,-14.52,1200.7,297.0,14.5,O,,,미국
신저가,NEW,ROL US Equity,"Rollins, Inc.",Commercial Services,39.44,-9.27,19.0,35.8,,O,O,,미국
신저가,NEW,DOV US Equity,Dover Corporation,Producer Manufacturing,197.8,-7.8,26.6,23.8,3.5,O,,,미국
신저가,NEW,GOOGL US Equity,Alphabet Inc.,Technology Services,317.69,-7.13,3871.0,16.0,6.2,O,,,미국
신저가,NEW,GOOG US Equity,Alphabet Inc.,Technology Services,318.34,-6.89,3871.0,16.0,6.3,O,,,미국
신저가,NEW,CMCSA US Equity,Comcast Corporation,Consumer Services,21.92,-6.8,78.3,7.1,,O,O,,미국
신저가,NEW,HONA US Equity,Honeywell Aerospace Inc.,Electronic Technology,195.87,-5.73,62.1,,,O,O,,미국
신저가,NEW,ORCL US Equity,Oracle Corporation,Technology Services,120.04,-4.61,345.8,20.6,9.2,O,O,,미국
신저가,NEW,CVNA US Equity,Carvana Co.,Retail Trade,60.19,-4.08,66.0,30.2,11.6,O,,,미국
신저가,NEW,DIS US Equity,Walt Disney Company (The),Consumer Services,92.83,-3.17,161.2,14.9,1.5,O,,,미국
신저가,NEW,DKS US Equity,Dick's Sporting Goods Inc,Retail Trade,204.36,-2.75,18.3,19.4,3.2,O,,,미국
신저가,NEW,STZ US Equity,"Constellation Brands, Inc.",Consumer Non-Durables,129.27,-2.13,22.1,12.3,2.7,O,,,미국
신저가,NEW,CHTR US Equity,"Charter Communications, Inc.",Consumer Services,126.5,-2.1,17.5,3.4,0.9,O,O,,미국
신저가,NEW,CRH US Equity,CRH PLC,Non-Energy Minerals,98.02,-2.04,65.5,18.2,2.8,O,,,미국
신저가,NEW,SBAC US Equity,SBA Communications Corporation,Finance,174.85,-1.78,18.5,18.4,,O,,,미국
신저가,NEW,AZO US Equity,"AutoZone, Inc.",Retail Trade,2923.5,-1.65,47.7,20.1,,O,O,,미국
신저가,NEW,FER US Equity,Ferrovial N.V.,Industrial Services,63.3,-1.28,45.5,43.7,6.6,O,,,미국
신저가,NEW,TKO US Equity,"TKO Group Holdings, Inc.",Consumer Services,179.43,-1.22,34.3,65.9,4.0,O,,,미국
신저가,NEW,LOW US Equity,"Lowe's Companies, Inc.",Retail Trade,201.92,-1.19,113.2,17.1,,O,O,,미국
신저가,NEW,BNT US Equity,Brookfield Wealth Solutions Ltd.,Finance,42.05,-0.87,14.0,,0.7,O,,,미국
신저가,NEW,WMT US Equity,Walmart Inc.,Retail Trade,108.4,-0.85,862.7,38.2,9.1,O,,,미국
신저가,NEW,PEP US Equity,"PepsiCo, Inc.",Consumer Non-Durables,134.95,-0.52,184.2,17.7,8.3,O,O,,미국
신저가,NEW,LEN US Equity,Lennar Corporation,Consumer Durables,82.13,-0.02,19.7,12.8,0.9,O,O,,미국
신저가,NEW,CPRT US Equity,"Copart, Inc.",Retail Trade,27.2,0.11,25.2,16.9,2.9,O,O,,미국
신저가,NEW,LEN/B US Equity,Lennar Corporation,Consumer Durables,80.72,0.19,19.7,12.6,0.9,O,O,,미국
신저가,NEW,IBM US Equity,International Business Machines Corporation,Technology Services,206.65,0.43,194.2,18.3,,O,O,,미국
신저가,NEW,UTHR US Equity,United Therapeutics Corporation,Health Technology,529.53,0.47,22.5,19.5,3.8,O,,,미국
신저가,NEW,ULS US Equity,UL Solutions Inc.,Commercial Services,86.6,0.6,17.5,50.5,13.2,O,,,미국
신저가,NEW,CSL US Equity,Carlisle Companies Incorporated,Producer Manufacturing,331.55,1.15,13.4,19.3,8.1,O,,,미국
신저가,NEW,APG US Equity,APi Group Corporation,Industrial Services,39.56,1.57,17.3,,5.0,O,,,미국
신저가,NEW,LVS US Equity,Las Vegas Sands Corp.,Consumer Services,46.03,1.72,30.5,17.9,,O,O,,미국
신저가,NEW,WYNN US Equity,"Wynn Resorts, Limited",Consumer Services,96.77,2.54,10.0,27.7,,O,O,,미국
신저가,OLD,APP US Equity,Applovin Corporation,Technology Services,398.86,-3.3,134.0,35.2,56.8,O,,"(전일) (모바일 광고 플랫폼·AXON AI): AXON 셀프서브 전환 마진 희석 우려·CEO 지분매각, 광고 경쟁 심화",미국
신저가,OLD,ISRG US Equity,"Intuitive Surgical, Inc.",Health Technology,332.02,-2.54,117.3,38.1,6.5,O,O,(전일) (로봇수술 시스템·다빈치): Q2 매출 상회에도 2026 시술건수 성장 가이던스 하향(국제 선택수술 둔화),미국
신저가,OLD,BN US Equity,Brookfield Corporation,Finance,41.21,-1.44,92.0,83.1,2.1,O,,,미국
신저가,OLD,MCD US Equity,McDonald's Corporation,Consumer Services,262.8,-0.29,186.7,21.7,,O,O,,미국
신저가,OLD,ALNY US Equity,"Alnylam Pharmaceuticals, Inc.",Health Technology,268.74,0.66,35.9,63.9,33.3,O,O,,미국
신저가,OLD,SPCX US Equity,Space Exploration Technologies Corp,Communications,118.24,2.59,1568.7,,44.8,O,O,"(전일) (스페이스X 주식 프록시): 8/6 락업 만료 임박·고평가(P/S 64배) 부담, 지분 희석 우려로 하락",미국
신고가,NEW,MEDP US Equity,"Medpace Holdings, Inc.",Commercial Services,605.82,14.71,17.3,35.5,38.9,O,O,,미국
신고가,NEW,LMT US Equity,Lockheed Martin Corporation,Electronic Technology,568.59,10.54,131.1,21.0,14.9,O,,,미국
신고가,NEW,ALLE US Equity,Allegion plc,Consumer Durables,154.57,10.45,13.3,20.3,6.2,O,,,미국
신고가,NEW,URI US Equity,"United Rentals, Inc.",Finance,1139.71,10.11,70.9,27.4,7.7,O,O,,미국
신고가,NEW,TMO US Equity,Thermo Fisher Scientific Inc,Health Technology,572.32,8.71,212.7,30.8,,O,,,미국
신고가,NEW,DGX US Equity,Quest Diagnostics Incorporated,Health Services,227.9,8.61,25.2,24.2,3.3,O,O,,미국
신고가,NEW,RTX US Equity,RTX Corporation,Electronic Technology,209.16,7.33,281.7,36.8,,O,,,미국
신고가,NEW,FCNCA US Equity,"First Citizens BancShares, Inc.",Finance,2212.77,6.51,25.3,11.8,1.3,O,,,미국
신고가,NEW,CORT US Equity,Corcept Therapeutics Incorporated,Health Technology,96.66,6.36,10.4,276.2,16.3,O,O,,미국
신고가,NEW,CSX US Equity,CSX Corporation,Transportation,52.81,5.77,97.8,30.5,6.9,O,O,,미국
신고가,NEW,NSC US Equity,Norfolk Southern Corporation,Transportation,348.55,5.32,78.3,29.7,4.8,O,O,,미국
신고가,NEW,CRL US Equity,"Charles River Laboratories International, Inc.",Commercial Services,229.29,4.84,11.0,,3.8,O,O,,미국
신고가,NEW,A US Equity,"Agilent Technologies, Inc.",Health Technology,139.74,4.71,39.5,28.1,5.5,O,,,미국
신고가,NEW,IQV US Equity,"IQVIA Holdings, Inc.",Health Technology,207.32,4.43,34.6,25.7,5.6,O,,,미국
신고가,NEW,UNP US Equity,Union Pacific Corporation,Transportation,304.33,4.02,180.7,24.6,,O,O,,미국
신고가,NEW,LH US Equity,Labcorp Holdings Inc.,Health Services,291.02,3.4,23.9,25.8,2.7,O,O,,미국
신고가,NEW,ILMN US Equity,"Illumina, Inc.",Health Technology,196.86,3.14,29.8,35.7,11.2,O,O,,미국
신고가,NEW,WAT US Equity,Waters Corporation,Health Technology,382.41,3.13,37.5,48.7,2.5,O,,,미국
신고가,NEW,GD US Equity,General Dynamics Corporation,Electronic Technology,381.79,2.31,103.2,24.0,4.0,O,O,,미국
신고가,NEW,CNI US Equity,Canadian National Railway Company,Transportation,130.58,2.09,79.2,23.9,5.1,O,O,,미국
신고가,NEW,ICLR US Equity,ICON plc,Commercial Services,170.32,1.82,13.0,78.4,1.4,O,,,미국
신고가,NEW,PAA US Equity,"Plains All American Pipeline, L.P.",Industrial Services,24.69,0.98,17.4,18.5,2.3,O,O,,미국
신고가,NEW,HIG US Equity,"The Hartford Insurance Group, Inc.",Finance,142.18,0.95,39.0,10.0,2.1,O,,,미국
신고가,NEW,WELL US Equity,Welltower Inc.,Finance,247.05,0.82,174.4,,4.0,O,O,,미국
신고가,NEW,AIT US Equity,"Applied Industrial Technologies, Inc.",Distribution Services,344.08,0.77,12.7,32.5,6.9,O,O,,미국
신고가,NEW,RPRX US Equity,Royalty Pharma plc,Health Technology,59.02,0.51,34.0,30.9,3.8,O,O,,미국
신고가,NEW,TRGP US Equity,"Targa Resources, Inc.",Utilities,285.58,0.4,61.3,29.1,19.6,O,O,,미국
신고가,NEW,WST US Equity,"West Pharmaceutical Services, Inc.",Health Technology,355.48,-0.82,25.1,45.5,8.4,O,O,,미국
신고가,NEW,SEIC US Equity,SEI Investments Company,Finance,96.73,-2.05,11.6,17.1,4.6,O,O,,미국
신고가,OLD,WAB US Equity,Westinghouse Air Brake Technologies Corporation,Producer Manufacturing,297.99,2.76,50.3,40.1,4.5,O,O,"(전일) (철도·화물 운송장비): Q2 매출 $31.8억(+17.5%)·EPS $2.76 상회, 수주잔고 $309억(+41.7%)에 가이던스 상향",미국
신고가,OLD,VG US Equity,"Venture Global, Inc.",Industrial Services,15.16,2.29,37.7,15.8,5.2,O,,"(전일) (미국 LNG 수출): CP2 LNG 2단계 FID·$86억 PF 완료, 2026 EBITDA 가이던스 $82~85억 재확인",미국
신고가,OLD,BIP US Equity,Brookfield Infrastructure Partners LP Limited Partnership,Utilities,41.04,1.96,18.9,56.0,4.1,O,O,,미국
신고가,OLD,TRV US Equity,"The Travelers Companies, Inc.",Finance,376.37,1.15,78.5,10.1,2.4,O,O,,미국
신고가,OLD,EOG US Equity,"EOG Resources, Inc.",Energy Minerals,145.49,1.03,77.5,14.3,2.5,O,,,미국
신고가,OLD,VTR US Equity,"Ventas, Inc.",Finance,97.92,0.76,48.7,177.4,3.6,O,O,,미국
신고가,OLD,OHI US Equity,"Omega Healthcare Investors, Inc.",Finance,50.97,0.71,15.2,24.7,2.9,O,O,,미국
신고가,OLD,SF US Equity,Stifel Financial Corporation,Finance,79.56,0.32,12.2,14.2,2.3,O,,,미국
신고가,OLD,CTVA US Equity,"Corteva, Inc.",Process Industries,88.78,0.28,59.4,52.1,2.4,O,O,,미국
신고가,OLD,AES US Equity,The AES Corporation,Utilities,14.83,-0.2,10.6,7.7,2.4,O,,"(전일) AES(글로벌 발전·재생에너지 유틸리티): 7/15 분기배당 선언+재생에너지 확장, 7/30 실적 기대",미국
신고가,OLD,PCAR US Equity,PACCAR Inc.,Producer Manufacturing,130.75,-0.27,68.8,27.8,3.5,O,O,"(전일) (대형트럭 제조·켄워스·피터빌트): 6월 Class8 트럭 수주 전년비 +230% 급증, 수요 회복 기대",미국
