구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,HONA US Equity,Honeywell Aerospace Inc.,Electronic Technology,156.47,-23.16,49.6,17.4,,,O,O,"하니웰에어로스페이스(항공우주 부품, 스핀오프 신규상장): 특별한 뉴스 없음(상장 초기 수급·밸류 조정 추정)",미국
신저가,NEW,APP US Equity,Applovin Corporation,Technology Services,335.67,-19.66,112.8,18.2,29.6,47.8,O,O,앱러빈(모바일 광고테크): 2분기 매출 컨센 하회+3분기 가이던스 부진,미국
신저가,NEW,WDC US Equity,Western Digital Corporation,Electronic Technology,451.52,-13.03,155.6,22.2,18.7,,O,,웨스턴디지털(HDD·데이터 스토리지): 실적 서프라이즈에도 가이던스 미흡+밸류 부담,미국
신저가,NEW,TPL US Equity,Texas Pacific Land Corporation,Miscellaneous,355.64,-6.87,24.5,39.0,,,O,,텍사스퍼시픽랜드(퍼미안 분지 토지·로열티): 2분기 실적 후 로열티 성장 둔화 우려,미국
신저가,NEW,FICO US Equity,Fair Isaac Corporation,Commercial Services,1031.89,-5.47,22.3,20.4,29.8,,O,,페어아이작(FICO 신용점수): VantageScore 경쟁 심화+실적 우려로 약세 지속,미국
신저가,NEW,RRX US Equity,Regal Rexnord Corporation,Producer Manufacturing,179.02,-2.3,11.9,15.3,36.9,1.7,O,,,미국
신저가,NEW,ROL US Equity,"Rollins, Inc.",Commercial Services,36.83,-1.97,17.7,30.4,33.4,12.4,O,O,,미국
신저가,NEW,PPL US Equity,PPL Corporation,Utilities,34.62,-0.94,26.0,17.4,21.3,1.7,O,,,미국
신저가,NEW,DTM US Equity,"DT Midstream, Inc.",Industrial Services,132.92,-0.14,13.6,27.3,29.2,2.8,O,,,미국
신저가,OLD,DVA US Equity,DaVita Inc.,Health Services,180.67,-4.25,11.5,11.3,15.2,,O,,"(전일) 다비타(신장투석 체인): 2분기 EPS 상회에도 가이던스 우려로 -17%, 신저가",미국
신저가,OLD,RBA US Equity,"RB Global, Inc.",Technology Services,92.67,-3.1,17.2,20.1,40.9,3.1,O,O,RB글로벌(중고 장비 경매 마켓플레이스): 8/4 실적 후 테이크레이트 우려 지속,미국
신저가,OLD,LNT US Equity,Alliant Energy Corporation,Utilities,69.52,-0.97,18.0,19.7,22.0,2.4,O,,,미국
신저가,OLD,WSO/B US Equity,"Watsco, Inc.",Producer Manufacturing,316.24,-0.9,12.7,25.4,27.5,,O,O,,미국
신저가,OLD,ENB US Equity,Enbridge Inc,Industrial Services,51.7,-0.46,112.9,23.9,28.2,2.7,O,,"(전일) 엔브리지(캐나다 에너지 파이프라인): 개별 뉴스 없음, 에너지 섹터 약세(추정)",미국
신저가,OLD,SRE US Equity,DBA Sempra,Utilities,84.35,-0.37,55.1,16.1,28.7,1.7,O,,,미국
신저가,OLD,TRP US Equity,TC Energy Corporation,Industrial Services,63.9,0.06,63.9,23.8,27.2,3.7,O,,,미국
신저가,OLD,ON US Equity,ON Semiconductor Corporation,Electronic Technology,78.33,1.85,30.5,20.2,50.4,4.2,O,,,미국
신저가,OLD,DKNG US Equity,DraftKings Inc.,Consumer Services,22.17,1.88,11.0,42.9,368.3,18.2,O,,(전일) 드래프트킹스(온라인 스포츠베팅): 플러터 실적 쇼크 여파로 동반 -7.8%,미국
신고가,NEW,INSM US Equity,Insmed Incorporated,Health Technology,132.55,33.86,28.7,,,40.7,O,,인스메드(희귀 폐질환 신약): TPIP 12개월 데이터 호조+BMO 목표가 상향,미국
신고가,NEW,PAYC US Equity,"Paycom Software, Inc.",Technology Services,215.97,23.55,10.3,16.6,23.0,16.7,O,,페이컴소프트웨어(인사·급여 SaaS): 2분기 실적 서프라이즈+가이던스 상향,미국
신고가,NEW,CACI US Equity,"CACI International, Inc.",Technology Services,628.79,21.38,13.9,19.5,26.0,,O,,CACI인터내셔널(국방IT 컨설팅): 4분기 EPS 컨센 큰폭 상회+가이던스 개선,미국
신고가,NEW,CHYM US Equity,"Chime Financial, Inc.",Technology Services,31.25,20.56,11.9,50.7,,8.4,O,O,챠임파이낸셜(모바일 챌린저뱅크): 2분기 GAAP 흑자전환+매출 가이던스 상향,미국
신고가,NEW,PRAX US Equity,"Praxis Precision Medicines, Inc.",Health Technology,370.16,15.95,10.3,,,7.3,O,O,프락시스정밀의학(중추신경계 신약): FDA 중간검토 통과(자문위 불필요)+손실 축소,미국
신고가,NEW,TIGO US Equity,Millicom International Cellular S.A.,Communications,104.31,13.64,17.5,25.6,14.2,5.6,O,O,,미국
신고가,NEW,EHC US Equity,Encompass Health Corporation,Health Services,124.82,12.55,12.4,19.8,20.3,,O,,,미국
신고가,NEW,LDOS US Equity,"Leidos Holdings, Inc.",Technology Services,135.26,6.63,17.0,11.0,12.4,3.4,O,,,미국
신고가,NEW,USFD US Equity,US Foods Holding Corp.,Distribution Services,106.97,6.45,23.6,20.8,36.0,5.4,O,O,,미국
신고가,NEW,ITT US Equity,ITT Inc.,Producer Manufacturing,214.41,5.06,19.2,25.4,37.8,4.0,O,O,,미국
신고가,NEW,MET US Equity,"MetLife, Inc.",Finance,99.95,3.83,64.3,9.6,19.1,2.3,O,O,,미국
신고가,NEW,BDX US Equity,"Becton, Dickinson and Company",Health Technology,177.07,3.76,48.8,13.3,44.9,2.0,O,,,미국
신고가,NEW,PYPL US Equity,"PayPal Holdings, Inc.",Commercial Services,59.78,3.19,51.1,10.8,11.3,2.6,O,,,미국
신고가,NEW,FIVE US Equity,"Five Below, Inc.",Retail Trade,231.12,3.1,12.8,25.8,29.2,5.5,O,,,미국
신고가,NEW,CQP US Equity,"Cheniere Energy Partners, LP",Utilities,66.04,2.98,32.0,14.9,15.4,10.9,O,,,미국
신고가,NEW,HALO US Equity,"Halozyme Therapeutics, Inc.",Health Technology,85.76,2.6,10.2,9.2,30.8,46.3,O,O,,미국
신고가,NEW,MSFT US Equity,Microsoft Corporation,Technology Services,499.86,2.54,3711.7,25.5,27.9,8.4,O,,,미국
신고가,NEW,ROKU US Equity,"Roku, Inc.",Technology Services,150.07,2.12,22.3,51.6,112.9,8.3,O,O,,미국
신고가,NEW,NOC US Equity,Northrop Grumman Corporation,Electronic Technology,567.74,1.84,80.7,19.4,18.0,4.5,O,,,미국
신고가,NEW,PRI US Equity,"Primerica, Inc.",Finance,326.41,1.82,10.2,12.8,13.1,,O,O,,미국
신고가,NEW,ET US Equity,Energy Transfer LP,Industrial Services,20.67,1.62,71.1,13.4,17.4,2.3,O,O,,미국
신고가,NEW,BRK/B US Equity,Berkshire Hathaway Inc. New,Finance,524.61,1.11,1018.0,25.3,15.6,1.6,O,O,,미국
신고가,NEW,BRK/A US Equity,Berkshire Hathaway Inc.,Finance,786000.0,1.07,1017.6,25.3,15.6,1.6,O,O,,미국
신고가,NEW,LH US Equity,Labcorp Holdings Inc.,Health Services,316.53,0.82,25.6,16.7,26.2,3.0,O,O,,미국
신고가,NEW,UHAL/B US Equity,U-Haul Holding Company Series N Non-Voting,Finance,65.35,0.68,13.0,,448.5,1.7,O,O,,미국
신고가,NEW,MFC US Equity,Manulife Financial Corporation,Finance,44.58,0.29,74.4,13.1,17.1,2.3,O,O,,미국
신고가,NEW,MLI US Equity,"Mueller Industries, Inc.",Producer Manufacturing,69.46,0.29,15.4,16.4,18.1,4.3,O,O,,미국
신고가,NEW,APGE US Equity,"Apogee Therapeutics, Inc.",Health Technology,134.49,0.19,10.2,,,8.0,O,O,,미국
신고가,NEW,RACE US Equity,Ferrari N.V.,Consumer Durables,407.28,0.12,96.3,34.5,38.7,17.1,O,,,미국
신고가,NEW,AFG US Equity,"American Financial Group, Inc.",Finance,146.73,0.0,12.2,12.0,12.8,2.5,O,,,미국
