시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"+1.4%·주간 +7.2%, YTD +30.9% 1위. 아틀라시안·트윌로 실적 서프라이즈로 SW 신고가 22종 주도",1.4,7.2,1.4,10.9,30.9,1,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"+0.7%, Health Technology 신고 13/신저 0. 나테라·할로자임 가이던스 상향이 견인",0.7,1.9,2.2,15.0,7.9,7,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"-0.4%로 당일 약세지만 신고 9/신저 0 유지, 금리 하락에 마진 우려 추정",-0.4,1.2,3.7,12.1,6.1,8,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,"+1.5% 당일 최강, 에어비앤비 +17%·인스타카트 +11% 실적 서프라이즈",1.5,3.2,2.6,0.2,0.8,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,"+0.1% 보합, YTD -4.9%로 11개 섹터 중 최하위 지속",0.1,2.8,0.7,-5.0,-4.9,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,"+0.2%, 산업서비스 신저 3종으로 섹터 내부 온도차",0.2,3.0,2.2,6.7,20.0,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,"보합(0.0%), 신고 1/신저 0으로 방향성 부재",0.0,0.1,2.3,2.1,11.0,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,"-1.1%·주간 -3.4%로 당일 최약, 다만 YTD +30.4%는 여전히 2위",-1.1,-3.4,4.9,3.5,30.4,2,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,"+0.5% 반등에도 신저가 6종·1M -3.4%, 금리 아닌 구조 약세로 추정",0.5,-1.7,-3.4,-2.7,3.5,9,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,"+1.3%, 구리 강세 수혜 추정이나 신고 2/신저 1로 혼조",1.3,4.8,5.2,3.2,17.5,4,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
미국,XLRE US,리츠,"+0.4%, 금리 하락에 소폭 반등(추정), 신고·신저 모두 없음",0.4,-0.2,1.7,2.2,13.2,5,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10.0
일본,1617 JP,식품,,1.5,2.2,1.9,9.8,21.1,6,11.8,15,8.8,14,22.3,13,6.4,10,5.6,11,-3.4,9.0
일본,1618 JP,에너지자원,,2.1,-0.3,5.9,-2.8,15.8,9,41.4,6,29.9,3,37.2,3,23.6,2,39.3,1,-29.0,17.0
일본,1619 JP,건설·자재,,-1.9,-1.2,-6.9,-8.2,6.8,11,42.0,3,21.6,6,32.0,9,-2.4,12,12.6,8,-6.1,11.0
일본,1620 JP,소재·화학,,-0.7,3.4,-0.9,2.0,22.4,5,8.6,17,3.9,16,23.1,12,-9.4,14,2.1,14,8.6,5.0
일본,1621 JP,의약품,,2.8,3.9,2.3,2.3,5.1,13,9.7,16,10.8,13,0.5,17,16.4,4,-8.4,17,4.6,6.0
일본,1622 JP,자동차·운송기기,,-0.1,-0.6,4.5,9.1,-2.1,16,13.5,14,16.4,11,40.5,2,-10.7,16,27.8,3,0.7,8.0
일본,1623 JP,철강·비철,,2.2,7.8,6.0,-16.0,46.6,1,68.8,1,20.6,8,35.0,4,16.1,5,20.8,7,-8.6,12.0
일본,1624 JP,기계,,-0.6,3.2,-1.2,-4.9,20.5,7,31.1,8,22.3,5,33.9,6,-9.9,15,7.5,9,17.7,3.0
일본,1625 JP,전기·정밀,,-0.3,1.3,-1.2,7.7,32.8,3,27.5,9,17.9,10,33.7,7,-23.0,17,25.0,5,26.2,1.0
일본,1626 JP,정보통신·서비스,,1.6,3.5,4.4,14.7,9.7,10,13.9,13,21.0,7,17.9,15,-5.9,13,3.5,13,21.9,2.0
일본,1627 JP,전력·가스,,1.9,-0.3,0.4,-2.3,2.9,15,37.4,7,6.3,15,35.0,4,13.2,7,-8.3,16,-10.7,13.0
일본,1628 JP,운수·물류,,1.0,-2.1,2.5,5.0,3.5,14,19.9,11,-0.0,17,19.0,14,13.1,8,4.7,12,-17.1,16.0
일본,1629 JP,상사·도매,,2.0,2.5,8.5,-2.2,19.1,8,41.5,5,20.1,9,42.0,1,21.3,3,29.2,2,1.9,7.0
일본,1630 JP,소매,,1.9,1.9,0.3,7.9,6.4,12,16.8,12,23.4,4,16.4,16,10.2,9,-4.4,15,8.7,4.0
일본,1631 JP,은행,,-0.1,1.7,1.9,22.1,45.9,2,44.8,2,50.4,1,33.2,8,38.3,1,26.7,4,-16.3,15.0
일본,1632 JP,금융(은행외),,0.1,-0.6,-0.1,17.1,30.7,4,21.4,10,49.0,2,27.2,10,13.7,6,22.6,6,-3.6,10.0
일본,1633 JP,부동산,,0.6,-1.6,-4.1,-9.9,-3.8,17,41.6,4,13.9,12,23.6,11,4.4,11,6.8,10,-13.3,14.0
홍콩,2800 HK,항셍지수,,0.6,-0.9,7.0,-2.2,1.3,1,27.4,1,17.9,3,-13.7,2,-15.3,1,-14.2,1,-3.7,1.0
홍콩,2828 HK,H주(중국기업),,0.5,-0.7,7.0,-3.7,-3.6,2,22.9,2,27.1,1,-14.1,3,-18.6,2,-23.2,2,-4.1,2.0
홍콩,3033 HK,항셍테크,,0.7,0.8,2.7,-4.9,-11.6,3,22.7,3,18.9,2,-9.3,1,-27.4,3,-32.9,3,,
중국A,512480 CH,반도체,"반도체 +3.4%·주간 +9.2%, YTD +48.0%로 A주 1위 — 진왕전자 PCB 상한가",3.4,9.2,-26.4,7.3,48.0,1,45.0,5,25.6,3,-2.4,4,-36.6,12,23.8,4,46.6,5.0
중국A,515000 CH,테크(科技),"테크 +2.8%·주간 +8.9%, AI인프라 체인 전반으로 매수 확산",2.8,8.9,-18.1,4.6,33.3,3,52.1,4,12.0,5,0.5,3,-34.0,11,-2.8,8,46.1,6.0
중국A,515050 CH,5G통신,"5G통신 +2.9%·주간 +13.4%로 주간 최강, 광모듈·AI연산 기대",2.9,13.4,-18.6,-5.2,37.4,2,99.7,2,24.2,4,16.3,1,-37.8,13,6.8,6,20.7,8.0
중국A,515030 CH,신에너지차,"신에너지차 +1.3%, 3M -22.4% 낙폭과대 반등 수준으로 추정",1.3,2.6,-3.1,-22.4,-11.2,9,56.6,3,0.3,8,-29.0,12,-28.9,10,41.9,2,,
중국A,512660 CH,방산(军工),방산 +1.7% 반등이나 YTD -16.0%로 최하위권 유지,1.7,5.6,-7.2,-22.2,-16.0,11,31.8,6,8.5,6,-10.8,6,-26.1,8,13.1,5,69.9,3.0
중국A,515790 CH,태양광,"태양광 +2.5% 반등, 3M -22.9%라 추세 전환은 미확인",2.5,6.1,-5.1,-22.9,-10.0,8,27.1,7,-14.9,13,-35.2,13,-19.7,5,50.7,1,,
