시장,티커,섹터,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLC US,커뮤니케이션,1.7,3.6,1.8,-2.5,-3.1,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3
미국,XLY US,경기소비재,0.9,1.5,0.5,0.7,-1.6,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2
미국,XLF US,금융,0.7,2.9,6.4,9.6,4.2,8,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9
미국,XLRE US,리츠,0.2,0.9,-0.9,3.5,12.2,5,2.6,10,5.1,9,12.4,6,-26.2,8,46.1,2,-2.2,10
미국,XLP US,필수소비재,0.1,-1.1,-2.1,3.2,8.8,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7
미국,XLV US,헬스케어,0.0,-2.5,3.4,6.8,3.1,9,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5
미국,XLI US,산업재,-0.2,-0.2,2.5,4.1,16.7,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6
미국,XLB US,소재,-0.3,0.7,-2.9,-2.5,12.3,4,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4
미국,XLE US,에너지,-0.8,1.6,-1.1,1.7,28.1,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11
미국,XLU US,유틸리티,-1.0,-0.3,2.2,-2.1,7.3,7,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8
미국,XLK US,테크,-1.1,0.1,-1.6,22.9,26.4,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1
홍콩,3033 HK,항셍테크,2.1,2.3,1.7,-0.1,-11.9,3,22.7,3,18.9,3,-9.3,1,-27.4,3,-32.9,3,,
홍콩,2828 HK,H주(중국기업),1.8,4.1,-0.1,-2.5,-5.4,2,26.2,2,32.1,1,-12.8,3,-17.8,2,-23.6,2,-2.0,2
홍콩,2800 HK,항셍지수,1.6,4.3,1.0,-2.0,-0.5,1,32.8,1,24.8,2,-11.9,2,-14.4,1,-13.5,1,-1.2,1
중국A,159928 CH,소비(消费),1.2,7.4,3.6,-11.6,-16.3,10,-2.9,12,-4.2,10,-18.3,9,-13.4,4,-7.5,12,72.7,2
중국A,512200 CH,부동산,0.8,1.3,-4.3,-13.8,-19.6,12,2.5,11,-0.5,9,-27.0,11,-10.4,2,-6.4,11,-6.6,11
중국A,512690 CH,백주(주류),0.7,9.4,0.0,-14.7,-21.8,13,-13.0,13,-11.0,11,-18.6,10,-11.9,3,-3.0,9,302.8,1
중국A,512010 CH,의약,-0.3,6.2,17.0,0.8,0.0,4,4.7,9,-12.2,12,-14.0,8,-24.5,7,-15.7,13,58.4,4
중국A,512400 CH,유색금속,-0.7,-1.1,-15.8,-19.2,-10.4,7,101.1,1,4.1,7,-11.4,7,-21.6,6,33.2,3,41.8,7
중국A,512800 CH,은행,-0.8,3.0,-1.0,-1.3,-4.7,5,10.8,8,42.6,1,-3.3,5,-4.8,1,-1.2,7,1.2,10
중국A,515030 CH,신에너지차,-1.1,-6.5,-17.9,-20.0,-14.3,9,56.6,3,0.3,8,-29.0,12,-28.9,10,41.9,2,,
중국A,512880 CH,증권,-1.4,-1.6,3.0,3.1,-8.0,6,3.5,10,29.7,2,3.8,2,-26.1,8,-3.8,10,17.5,9
중국A,512660 CH,방산(军工),-1.9,-9.8,-11.5,-18.5,-18.4,11,31.8,6,8.5,6,-10.8,6,-26.1,8,13.1,5,69.9,3
중국A,515790 CH,태양광,-2.6,-9.3,-19.9,-22.2,-13.9,8,27.1,7,-14.9,13,-35.2,13,-19.7,5,50.7,1,,
중국A,515050 CH,5G통신,-2.8,-9.0,-10.0,27.7,53.6,2,99.7,2,24.2,4,16.3,1,-37.8,13,6.8,6,19.3,8
중국A,515000 CH,테크(科技),-4.5,-13.7,-2.6,27.7,40.6,3,52.1,4,12.0,5,0.5,3,-34.0,11,-2.8,8,44.0,6
중국A,512480 CH,반도체,-5.4,-20.8,3.4,44.9,59.2,1,45.0,5,25.6,3,-2.4,4,-36.6,12,23.8,4,46.2,5
