시장,티커,섹터,코멘트,1D,1주,1M,3M,YTD26,순위26,YTD25,순위25,YTD24,순위24,YTD23,순위23,YTD22,순위22,YTD21,순위21,YTD20,순위20
미국,XLK US,테크,"1D -0.9%지만 SW·보안 신고가 22종(순강도 +22, 12MF 23.4) — 하락은 반도체·하드웨어 몫 추정",-0.9,4.7,0.3,6.3,29.7,2,24.6,1,21.6,5,56.0,1,-27.7,9,34.7,4,43.6,1.0
미국,XLV US,헬스케어,"1D +1.7%·3M +17.9%로 모멘텀 최상위. Health Technology 신고18/신저1, 버텍스·바이오마린 주도",1.7,3.8,4.7,17.9,9.7,7,14.5,6,2.5,10,2.1,8,-2.1,4,26.0,7,13.3,5.0
미국,XLF US,금융,"1D +0.4%, Finance 신고10/신저3(12MF 15.2). IB는 에버코어가 신저로 갈림",0.4,0.7,3.8,13.2,6.5,8,14.9,5,30.6,2,12.0,7,-10.6,6,34.8,3,-1.7,9.0
미국,XLY US,경기소비재,1D -0.2% 보합. Retail Trade 신고3으로 온기는 남았으나 유가 급등이 소비 심리 부담 추정,-0.2,1.2,2.1,-0.2,0.6,10,7.4,9,26.5,3,39.6,3,-36.3,10,27.9,5,29.6,2.0
미국,XLC US,커뮤니케이션,"1D +0.5%, 신고·신저 0종. YTD -4.5%로 올해 미국 최약 섹터 지위 유지",0.5,0.4,0.2,-4.1,-4.5,11,23.1,2,34.7,1,52.8,2,-37.6,11,16.0,11,26.9,3.0
미국,XLI US,산업재,"1D -0.3%, Producer Manufacturing 신고1/신저1 혼조·Industrial Services 순강도 -2",-0.3,0.8,1.5,6.8,19.6,3,19.3,3,17.3,6,18.1,4,-5.6,5,21.1,8,10.9,6.0
미국,XLP US,필수소비재,"1D -0.2%, 알트리아가 신저(2분기 부진 여파). 방어주 프리미엄 소멸 구간",-0.2,0.1,1.0,1.6,10.7,6,1.5,11,12.2,7,-0.8,10,-0.8,3,17.2,10,10.1,7.0
미국,XLE US,에너지,1D +4.7%로 전 섹터 최강 — 호르무즈 봉쇄 장기화에 브렌트 87달러대. YTD +36.5%,4.7,2.4,9.3,8.8,36.5,1,7.9,8,5.6,8,-0.6,9,64.3,1,53.3,1,-32.7,11.0
미국,XLU US,유틸리티,"1D -1.1%·1M -5.0%, 신저 6종으로 최다. 유가발 인플레·금리 부담 추정",-1.1,-2.8,-5.0,-2.9,2.4,9,16.0,4,23.3,4,-7.2,11,1.4,2,17.7,9,0.5,8.0
미국,XLB US,소재,"1D +0.6%·1주 +4.3%, Non-Energy Minerals 신고5/신저1 — 금·구리 등 광물 강세 반영",0.6,4.3,4.5,3.5,18.2,4,9.9,7,0.1,11,12.5,5,-12.3,7,27.4,6,20.5,4.0
