시장,섹터,유니버스종목수,신고가,신저가,순강도(신고-신저),판정,PER(TTM중앙값),PBR(중앙값)
미국,Finance,164,9,1,8,강세,18.7,2.2
미국,Energy Minerals,22,5,0,5,강세,18.2,2.0
미국,Utilities,40,4,0,4,강세,22.7,2.3
미국,Consumer Non-Durables,37,2,0,2,강세,22.2,3.1
미국,Process Industries,23,2,0,2,강세,28.8,3.0
미국,Retail Trade,32,2,0,2,강세,25.0,7.6
미국,Distribution Services,15,1,0,1,강세,24.3,4.9
미국,Industrial Services,34,1,0,1,강세,29.6,5.4
미국,Producer Manufacturing,54,2,1,1,강세,34.3,6.4
미국,Transportation,25,1,0,1,강세,29.5,4.7
미국,Consumer Services,37,0,1,-1,약세,23.8,4.7
미국,Electronic Technology,94,0,1,-1,약세,45.3,8.7
미국,Technology Services,89,0,1,-1,약세,30.4,7.0
미국,Commercial Services,20,0,0,0,-,33.2,4.6
미국,Communications,11,1,1,0,혼조,12.1,4.2
미국,Consumer Durables,19,0,0,0,-,21.0,2.9
미국,Health Services,14,0,0,0,-,22.3,2.7
미국,Health Technology,68,2,2,0,혼조,29.6,5.2
미국,Miscellaneous,2,0,0,0,-,59.4,10.5
미국,Non-Energy Minerals,28,0,0,0,-,21.7,2.9
일본,Finance,26,7,0,7,강세,16.6,1.5
일본,Electronic Technology,12,1,0,1,강세,43.6,4.0
일본,Non-Energy Minerals,4,1,0,1,강세,27.3,2.8
일본,Commercial Services,1,0,0,0,-,24.4,2.1
일본,Communications,4,0,0,0,-,13.9,2.0
일본,Consumer Durables,11,0,0,0,-,16.6,1.3
일본,Consumer Non-Durables,8,0,0,0,-,25.5,2.8
일본,Consumer Services,1,0,0,0,-,36.0,4.0
일본,Distribution Services,5,0,0,0,-,18.4,1.9
일본,Energy Minerals,2,0,0,0,-,12.5,1.0
일본,Health Technology,10,0,0,0,-,19.7,2.1
일본,Industrial Services,3,0,0,0,-,13.2,1.8
일본,Process Industries,8,0,0,0,-,18.9,1.8
일본,Producer Manufacturing,24,0,0,0,-,28.4,3.3
일본,Retail Trade,5,0,0,0,-,32.0,3.1
일본,Technology Services,8,0,0,0,-,21.4,3.2
일본,Transportation,5,0,0,0,-,11.5,0.8
일본,Utilities,4,0,0,0,-,9.4,1.0
홍콩,Transportation,13,2,0,2,강세,13.2,1.5
홍콩,Communications,5,1,0,1,강세,12.1,0.8
홍콩,Finance,46,1,0,1,강세,7.6,0.7
홍콩,Health Technology,10,1,0,1,강세,35.7,5.2
홍콩,Commercial Services,1,0,0,0,-,9.8,2.0
홍콩,Consumer Durables,13,0,0,0,-,12.7,2.2
홍콩,Consumer Non-Durables,9,0,0,0,-,15.1,2.5
홍콩,Consumer Services,6,0,0,0,-,15.3,5.3
홍콩,Distribution Services,3,0,0,0,-,12.0,3.7
홍콩,Electronic Technology,16,0,0,0,-,78.4,5.0
홍콩,Energy Minerals,6,0,0,0,-,11.7,1.1
홍콩,Industrial Services,3,0,0,0,-,3.8,0.2
홍콩,Non-Energy Minerals,7,0,0,0,-,14.3,2.4
홍콩,Process Industries,3,0,0,0,-,21.7,1.5
홍콩,Producer Manufacturing,12,0,0,0,-,24.5,2.7
홍콩,Retail Trade,6,0,0,0,-,20.7,1.7
홍콩,Technology Services,6,0,0,0,-,15.8,3.0
홍콩,Utilities,9,0,0,0,-,14.4,1.2
중국A,Electronic Technology,66,3,0,3,강세,78.6,11.1
중국A,Technology Services,11,2,0,2,강세,50.7,7.8
중국A,Non-Energy Minerals,18,1,0,1,강세,18.6,2.9
중국A,Commercial Services,1,0,0,0,-,,15.1
중국A,Communications,4,0,0,0,-,16.5,1.3
중국A,Consumer Durables,10,0,0,0,-,15.3,3.2
중국A,Consumer Non-Durables,8,0,0,0,-,19.4,3.6
중국A,Distribution Services,4,0,0,0,-,37.8,3.6
중국A,Energy Minerals,7,0,0,0,-,14.9,1.9
중국A,Finance,42,0,0,0,-,6.9,0.8
중국A,Health Services,1,0,0,0,-,24.5,3.6
중국A,Health Technology,11,0,0,0,-,44.6,4.6
중국A,Industrial Services,7,0,0,0,-,7.6,0.4
중국A,Process Industries,18,0,0,0,-,25.0,3.1
중국A,Producer Manufacturing,46,0,0,0,-,35.3,5.0
중국A,Retail Trade,1,0,0,0,-,,2.0
중국A,Transportation,11,0,0,0,-,16.1,1.7
중국A,Utilities,15,0,0,0,-,20.6,1.7
