구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(12MF),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,TPR US Equity,"Tapestry, Inc.",Retail Trade,128.39,-16.49,25.9,16.3,41.2,38.1,O,,태피스트리(코치·케이트스페이드 핸드백): 4Q 서프라이즈에도 FY27 매출 가이던스 부진에 급락,미국
신저가,NEW,HUT US Equity,Hut 8 Corp.,Technology Services,82.95,-8.62,10.2,,,7.1,O,,"허트8(비트코인 채굴·데이터센터): 2분기 순손실 전환, 75억달러 확장 파이낸싱 부담",미국
신저가,NEW,NBIX US Equity,"Neurocrine Biosciences, Inc.",Health Technology,150.82,-3.62,15.3,17.8,22.1,4.1,O,,뉴로크린(신경정신질환 신약 개발): 프래더윌리 치료제 Vykat 사망사례 안전성 우려 보도,미국
신저가,NEW,AS US Equity,"Amer Sports, Inc.",Consumer Durables,33.12,0.27,19.2,24.4,41.0,2.8,O,,아머스포츠(아크테릭스·살로몬 아웃도어): 8/18 실적 앞두고 내부자 매도·매출 우려로 신저가권,미국
신저가,OLD,RRX US Equity,Regal Rexnord Corporation,Producer Manufacturing,170.58,-1.34,11.4,14.6,35.1,1.6,O,,,미국
신저가,OLD,ROL US Equity,"Rollins, Inc.",Commercial Services,36.22,-0.82,17.4,29.9,32.9,12.2,O,O,(전일) 롤린스(해충방제 서비스): 2분기 EPS 0.32달러로 컨센 하회·경영진 교체 우려로 52주 신저가,미국
신저가,OLD,RBA US Equity,"RB Global, Inc.",Technology Services,86.41,-0.06,16.0,18.5,38.1,2.9,O,O,,미국
신저가,OLD,TPL US Equity,Texas Pacific Land Corporation,Miscellaneous,347.04,1.25,23.9,38.1,44.2,14.3,O,,(전일) 텍사스퍼시픽랜드(퍼미안분지 토지·로열티 보유): 특별한 뉴스 없음(에너지 섹터 수급 흐름 추정),미국
신고가,NEW,WDAY US Equity,"Workday, Inc.",Technology Services,206.45,17.78,51.0,18.6,64.4,7.7,O,,"워크데이(기업용 HR·재무 SaaS): 실버레이크 인수협상 로이터 보도, 변동성 정지 후 급등",미국
신고가,NEW,DOCU US Equity,"DocuSign, Inc.",Technology Services,64.09,10.31,12.2,13.8,41.6,6.8,O,,도큐사인(전자서명·계약관리 SaaS): 개별 뉴스 없이 소프트웨어 업종 전반 랠리에 동반 급등,미국
신고가,NEW,RBRK US Equity,"Rubrik, Inc.",Technology Services,105.09,8.64,21.6,354.1,,,O,O,"루브릭(데이터 백업·랜섬웨어 복구 SW): 보안·SW 랠리, BTIG 목표가 109달러 상향 여진",미국
신고가,NEW,GPN US Equity,Global Payments Inc.,Finance,94.83,7.12,25.1,6.4,29.8,1.1,O,O,글로벌페이먼츠(가맹점 결제처리): 모간스탠리·울프리서치 목표가·투자의견 상향에 신고가,미국
신고가,NEW,HPQ US Equity,HP Inc.,Technology Services,31.3,6.9,28.6,11.4,11.6,,O,O,"HP(PC·프린터 제조): 레노버 어닝서프라이즈 낙수, 골드만 Buy 신규·모간스탠리 상향",미국
신고가,NEW,SAIL US Equity,"SailPoint, Inc.",Technology Services,19.99,6.73,11.3,58.5,,1.7,O,,,미국
신고가,NEW,PS US Equity,Pershing Square Inc.,Finance,41.4,6.7,16.6,50.3,,19.8,O,,,미국
