구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,PNR US Equity,Pentair plc.,Producer Manufacturing,64.33,-15.0,10.4,15.8,2.7,O,O,2Q 채널 재고조정(-$170M 매출)·연간 EPS 가이던스 $5.35→$4.70 하향·CFO 사임,미국
신저가,NEW,CIEN US Equity,Ciena Corporation,Electronic Technology,418.46,-6.37,59.2,139.3,20.5,O,,클라우드 광통신 투자 둔화·서비스업체 재고소화 지연 우려,미국
신저가,NEW,IONQ US Equity,"IonQ, Inc.",Electronic Technology,37.51,-4.53,14.0,,2.8,O,,양자컴 섹터 리스크오프+공매도 리포트의 국방부 계약 우려,미국
신저가,NEW,COHR US Equity,Coherent Corp.,Electronic Technology,299.38,-3.67,58.6,142.9,5.5,O,,AI 광학주 랠리 후 차익실현·밸류에이션 부담,미국
신저가,NEW,ORLY US Equity,"O'Reilly Automotive, Inc.",Retail Trade,82.73,-3.52,68.6,27.0,,O,O,Genuine Parts의 $100억+ 부품사업 인수 추진 보도 — 딜 리스크·반독점 우려,미국
신저가,NEW,ALB US Equity,Albemarle Corporation,Process Industries,124.74,-3.11,14.7,,1.9,O,,,미국
신저가,NEW,IBM US Equity,International Business Machines Corporation,Technology Services,211.2,-2.7,198.5,18.7,6.0,O,O,,미국
신저가,NEW,RMBS US Equity,"Rambus, Inc.",Electronic Technology,102.89,-2.36,11.1,48.9,8.0,O,,,미국
신저가,NEW,BWXT US Equity,"BWX Technologies, Inc.",Electronic Technology,176.91,-1.62,16.2,47.2,12.7,O,,,미국
신저가,NEW,AEM US Equity,Agnico Eagle Mines Limited,Non-Energy Minerals,142.23,-1.51,72.5,13.5,2.7,O,,,미국
신저가,NEW,MCD US Equity,McDonald's Corporation,Consumer Services,264.95,-1.48,188.2,21.8,,O,O,,미국
신저가,NEW,DKS US Equity,Dick's Sporting Goods Inc,Retail Trade,208.89,-1.17,18.7,19.9,3.3,O,,,미국
신저가,NEW,Q US Equity,"Qnity Electronics, Inc.",Electronic Technology,140.23,-1.02,29.4,45.2,4.1,O,,,미국
신저가,NEW,CPRT US Equity,"Copart, Inc.",Retail Trade,27.28,-0.87,25.3,17.0,2.9,O,O,,미국
신저가,NEW,PEP US Equity,"PepsiCo, Inc.",Consumer Non-Durables,135.4,-0.04,184.8,17.8,8.4,O,O,,미국
신저가,NEW,BSX US Equity,Boston Scientific Corporation,Health Technology,43.04,0.96,64.0,18.0,2.5,O,O,,미국
신저가,NEW,DLR US Equity,"Digital Realty Trust, Inc.",Finance,176.07,1.71,63.0,46.6,2.7,O,,,미국
신저가,OLD,CRWV US Equity,"CoreWeave, Inc.",Technology Services,77.12,-3.53,42.1,,8.6,O,,"(전일) 메타 자체 클라우드 진출 경쟁 우려 지속, AI 컴퓨트주 약세 연장",미국
신저가,OLD,INIO US Equity,INNIO N.V.,Producer Manufacturing,30.16,-2.11,22.6,,100.8,O,O,,미국
신저가,OLD,SPCX US Equity,Space Exploration Technologies Corp,Communications,135.27,-0.6,1794.6,,51.2,O,O,,미국
