구분,NEW/OLD,티커,종목명,섹터,종가,등락률(%),시총($B),PER(TTM),PBR,60일,52주,이유,시장
신저가,NEW,AMKR US Equity,"Amkor Technology, Inc.",Electronic Technology,45.69,-24.74,11.3,20.5,,O,,(반도체 패키징 OSAT): 2Q 실적 비트에도 3Q 매출 가이던스 컨센 -4% 하회로 -25% 급락,미국
신저가,NEW,COHR US Equity,Coherent Corp.,Electronic Technology,243.33,-10.31,47.6,116.2,4.5,O,,"(광통신 부품·레이저): 코닝 가이던스 쇼크발 광통신 섹터 연쇄 하락, AI투자 ROI 우려",미국
신저가,NEW,IESC US Equity,"IES Holdings, Inc.",Industrial Services,543.49,-9.9,10.8,29.0,10.1,O,,(전기·통신 인프라 시공): 신주발행 선반등록 희석 우려·고평가·내부자 매도로 매물 압박,미국
신저가,NEW,MOD US Equity,Modine Manufacturing Company,Producer Manufacturing,208.06,-9.7,11.0,93.0,9.2,O,,(데이터센터 냉각·열관리): 7/29 실적 전 차익실현·AI 냉각 섹터 과열 경계로 급락,미국
신저가,NEW,TSEM US Equity,Tower Semiconductor Ltd.,Electronic Technology,202.99,-9.46,22.7,94.3,7.6,O,,(파운드리·아날로그 반도체): 코닝 쇼크 촉발 AI 인프라 섹터 급매도 동반 하락(실적 8/4),미국
신저가,NEW,LITE US Equity,Lumentum Holdings Inc.,Producer Manufacturing,651.93,-8.43,50.7,121.0,15.7,O,,,미국
신저가,NEW,NXT US Equity,Nextpower Inc.,Electronic Technology,95.35,-8.08,14.5,24.9,6.1,O,,,미국
신저가,NEW,ONTO US Equity,Onto Innovation Inc.,Electronic Technology,241.89,-7.79,12.0,112.3,5.6,O,,,미국
신저가,NEW,CIEN US Equity,Ciena Corporation,Electronic Technology,350.51,-7.09,49.6,116.7,17.2,O,,,미국
신저가,NEW,MAIR US Equity,Madison Air Solutions Corporation,Producer Manufacturing,32.22,-6.74,16.2,,1455.3,O,,,미국
신저가,NEW,AEIS US Equity,"Advanced Energy Industries, Inc.",Electronic Technology,273.42,-6.35,10.4,57.6,7.5,O,,,미국
신저가,NEW,FIX US Equity,"Comfort Systems USA, Inc.",Industrial Services,1626.32,-6.02,57.2,40.0,17.8,O,,,미국
신저가,NEW,INTC US Equity,Intel Corporation,Electronic Technology,86.3,-5.86,435.3,,5.0,O,,,미국
신저가,NEW,QNT US Equity,Quantinuum Inc.,Electronic Technology,49.78,-5.77,13.0,,506.6,O,O,,미국
신저가,NEW,IONQ US Equity,"IonQ, Inc.",Electronic Technology,33.88,-5.68,12.6,,2.5,O,,,미국
신저가,NEW,DY US Equity,"Dycom Industries, Inc.",Industrial Services,401.87,-5.27,12.1,38.2,6.4,O,,,미국
신저가,NEW,NVT US Equity,nVent Electric plc,Electronic Technology,141.75,-5.05,22.9,47.7,6.0,O,,,미국
신저가,NEW,EME US Equity,"EMCOR Group, Inc.",Industrial Services,705.82,-4.97,31.4,23.6,8.1,O,,,미국
신저가,NEW,CRWV US Equity,"CoreWeave, Inc.",Technology Services,67.3,-4.93,36.7,,7.5,O,,,미국
신저가,NEW,RKLB US Equity,Rocket Lab Corporation,Electronic Technology,63.89,-4.56,38.2,,16.2,O,,,미국
신저가,NEW,FN US Equity,Fabrinet,Electronic Technology,449.72,-4.48,16.1,38.7,7.0,O,,,미국
신저가,NEW,SMMT US Equity,Summit Therapeutics Inc.,Health Technology,12.55,-4.24,10.0,,15.8,O,O,,미국
신저가,NEW,QCOM US Equity,QUALCOMM Incorporated,Electronic Technology,162.88,-4.21,171.7,17.7,6.3,O,,,미국
신저가,NEW,BWXT US Equity,"BWX Technologies, Inc.",Electronic Technology,169.67,-3.89,15.5,45.2,12.1,O,,,미국
신저가,NEW,CAT US Equity,"Caterpillar, Inc.",Producer Manufacturing,840.85,-3.71,387.3,41.8,20.8,O,,,미국
신저가,NEW,JBL US Equity,Jabil Inc.,Producer Manufacturing,302.95,-2.74,31.7,37.8,24.0,O,,,미국
신저가,NEW,KEYS US Equity,Keysight Technologies Inc.,Electronic Technology,305.17,-2.71,52.2,50.3,8.2,O,,,미국
신저가,NEW,INIO US Equity,INNIO N.V.,Producer Manufacturing,26.22,-2.6,19.7,,87.6,O,O,,미국
신저가,NEW,LSCC US Equity,Lattice Semiconductor Corporation,Electronic Technology,120.06,-2.32,16.4,845.5,22.2,O,,,미국
신저가,NEW,WMB US Equity,"Williams Companies, Inc. (The)",Industrial Services,70.16,-0.89,85.8,30.8,6.6,O,,,미국
신저가,NEW,GSAT US Equity,"Globalstar, Inc.",Communications,79.04,0.01,10.2,,29.6,O,,,미국
신저가,NEW,ORCL US Equity,Oracle Corporation,Technology Services,119.96,0.05,345.5,20.6,9.2,O,O,,미국
신저가,NEW,ELV US Equity,"Elevance Health, Inc.",Health Services,385.73,1.95,83.7,17.1,1.9,O,,,미국
신저가,OLD,TTMI US Equity,"TTM Technologies, Inc.",Electronic Technology,108.69,-12.14,11.3,59.1,6.1,O,,"(인쇄회로기판 PCB): 전자부품 제조 섹터 광범위 매물 출회, 섹터 수급 악화로 신저가",미국
신저가,OLD,GLW US Equity,Corning Incorporated,Electronic Technology,126.01,-12.1,108.4,60.5,9.7,O,,(광섬유·디스플레이 유리): 2Q 비트에도 3Q 매출 가이던스 시장 기대 하회로 -12% 급락,미국
